Business name,Webiste,Address,Number,Email,Note,,Worker,,,,,,,,,,
Dario tattoo,http://www.dariotattoo.com/,"Lives in Sydney, Australia",61 2 9279 0085,,Email N/A,,,,,,,,,,,,
Bunshinren Tattoo Studio,http://bunshinren.com/,"Level 2/90 Hay St, Haymarket NSW 2000",,hello@bunshinren.com,,,Salman Ahmed,,,,,,,,,,
Brett Hayes Tattoo Artist,http://www.bretthayes.com.au/,"342 Elizabeth Street, Surry Hills, NSW, 2010, Australia",61 412 888 833,brett@bretthayes.com.au,,,Salman Ahmed,,,,,,,,,,
Little Art Tattoo,https://instagram.com/littlearttattoo,,,,Email N/A,,,,,,,,,,,,
Something Original,http://somethingoriginaltattoo.com.au/,128 King St Gadigal Country Newtown NSW 2042,61 2 9550 3813,somethingoriginaltattoo@gmail.com,,,Salman Ahmed,,,,,,,,,,
Bondi Ink Tattoo,http://www.bondiinktattoo.com.au/,"Shop 4/72-76 Campbell Parade, Bondi Beach, Sydney, Australia 2026",61 2 9365 5101,info@bondiinktattoo.com.au,,,Salman Ahmed,,,,,,,,,,
Dani Tattoo Fairy Hands,http://www.danitattoo.com/,"level 05 - 428 George st street, CBD,. Dymocks Building. Sydney, NSW , Australia",61 404 724 448,info@danitattoo.com,,,Salman Ahmed,,,,,,,,,,
ink zú tattoo studio,https://www.inkzu.com.au/,"272 Marrickville Rd, Marrickville NSW 2204",,inkzu.sydney@gmail.com,,,Salman Ahmed,,,,,,,,,,
Little Planet Tattoo,https://www.instagram.com/little.planet.tattoo/?hl=en,,61 421 263 657,,,,,,,,,,,,,,
Spider and Fly Tattoo,http://www.spiderandflytattoo.com/,"101  / 27-39 Abercrombie Street, Chippendale, 2008",61 481 576 653,info@spiderandflytattoo.com,,,Salman Ahmed,,,,,,,,,,
Free Spirit Tattoo Manly,http://freespiritmanly.com/,24A Darley Rd Manly NSW 2095,61 2 8966 9663,info@freespiritmanly.com,,,Salman Ahmed,,,,,,,,,,
Sole,https://www.soletattoogallery.com/booking,"20 smidmore street marrickville Sydney, NSW, Australia 2204",61 2 8960 1887,info@soletattoogallery.com,,,Salman Ahmed,,,,,,,,,,
The Tattoo Movement,http://thetattoomovement.com/,"21/112 McEvoy StAlexandria NSW 2015, Australia",61 2 8313 8082,tattoomovementbookings@gmail.com,,,Salman Ahmed,,,,,,,,,,
Black Chapel Tattoo Gallery,https://www.facebook.com/blackchapeltattoogallery/,"210 Victoria Road, Drummoyne, NSW, Australia, New South Wales",61 2 9819 7771,,Email N/A,,,,,,,,,,,,
The Art Of Tattoo,http://www.theartof.com.au/,"328 Railway Parade, Carlton New South Wales 2218, Australia",61 2 9568 1242,info@theartof.com.au,,,Salman Ahmed,,,,,,,,,,
Hand in Hand Tattoo,https://www.instagram.com/handinhand_tattoo/?hl=en,"695 Darling St, Rozelle NSW 2039, Australia",,tattoos.handinhand@gmail.com,,,Salman Ahmed,,,,,,,,,,
Black Jade Tattoo,http://www.blackjadetattoo.com.au/,"Little Saigon Plaza, Level 1, Shop 13/462 Chapel Rd, Bankstown NSW 2200",61 2 9796 2994,blackjadetattoo@hotmail.com,,,Salman Ahmed,,,,,,,,,,
Kaya Garden Tattoo,http://kayagardentattoo.com.au/,"Shop 3, 467 - 469 Marrickville Road, Dulwich Hill NSW 2203​",61 2 9413 9750,kayagardentattoo@gmail.com,,,Salman Ahmed,,,,,,,,,,
Fly Ink Tattoo Studio,https://flyink282.com/,"282 Marrickville rd Sydney, NSW, Australia 2204",61 456 686 666,flyinktattoostudio@gmail.com,,,Salman Ahmed,,,,,,,,,,
Pearla Tattoo Studio,http://www.pearlatattoo.com/,"159A Alison Rd, Randwick NSW 2031",61 466 991 028,bookings@pearlatattoo.com,,,Salman Ahmed,,,,,,,,,,
Sash Tattoo,http://www.sashtattoo.com.au/,"472 King Georges Rd, Beverly Hills NSW 2209",61 2 8084 0853,sashtattoo@hotmail.com,,,Salman Ahmed,,,,,,,,,,
Whistler Street Tattoo,http://www.whistlerstreettattoo.com.au/,"Shop 5, 18 Whistler Street Manly NSW 2095",61 2 9976 2263,whistlerstreettattoo@gmail.com,,,Salman Ahmed,,,,,,,,,,
Oops I did it again,https://www.instagram.com/oops.ididitagain.studio/,,,,Email N/A,,,,,,,,,,,,
Prana Tattoo,http://pranatattoo.com/,"101 O’Brien St, Bondi Beach, NSW 2026",61 416 355 056,bookings@pranatattoo.com,,,Salman Ahmed,,,,,,,,,,
Abstruse tattoo studio,http://abstrusetattoostudio.com.au/,"1 / 720 New Canterbury rd, Hurlstone Park 2193",,mail@abstrusetattoostudio.com.au,,,Salman Ahmed,,,,,,,,,,
Snake & Dagger Tattoo,https://instagram.com/snakeanddaggertattoo,,61 2 8593 7300,,Email N/A,,,,,,,,,,,,
Cabramatta Ink Tattoo,http://www.cabramattaink.com/,194 Cabramatta Road West Cabramatta NSW 2166,61 2 9754 2333,contact@cabramattaink.com,,,Salman Ahmed,,,,,,,,,,
Soul Purpose Tattoo,http://soulpurposetattoo.com.au/,1/143 Great N Rd. Five Dock NSW 2046. Australia,,contact@soulpurposetattoo.com.au,,,Salman Ahmed,,,,,,,,,,
Bondi Fineline Tattoo,https://carlvalhalladesign.wixsite.com/bondi-fine-line-tatt,"s,'114 Spring sg Bondi Junction NSW 2022, AustraEa",61 413 967 314,carl.valhalladesign@yahoo.com,,,Salman Ahmed,,,,,,,,,,
Ink Q Tattoo Studio Parramatta,https://www.instagram.com/inkqtattoos/,"Entry Via Street, Level ovurch St. Parramatta NSW, 2150, Australia",61 406 101 101,inkqtattoos@outlook.com,,,Salman Ahmed,,,,,,,,,,
Great White Tattoo,https://www.greatwhitetattoo.com/,"140 Oak Rd, Kirrawee, NSW 2232, Australia",61 2 8581 4630,info@greatwhitetattoo.com,,,Salman Ahmed,,,,,,,,,,
Tattoo 665,http://tattoo665.com/,"665 Pittwater Rd, Dee Why NSW 2099, Australia",61 450 246 665,info@tattoo665.com,,,Salman Ahmed,,,,,,,,,,
The One Bondi Tattoo,http://www.theonebondi.com/,"3a/195 Oxford St, Bondi Junction NSW 2022, Australia",61 451 185 606,theonebondi@gmail.com,,,Salman Ahmed,,,,,,,,,,
Henna Art & Henna Tattoo Artist Sydney - SS Mehendi,http://www.ssmehendi.com/,,61 420 685 765,,Not A Tattoo  Website,,,,,,,,,,,,
Junie Cosmetic Tattoo Sydney,https://juniecosmetictattooclinic.com/,,61 413 873 489,,Not A Tattoo  Website,,,,,,,,,,,,
Black Eagle Tattoos,https://blackeagletattoos.com/,"Shop 35, 7-11 Collaroy St, Collaroy, New South Wales, 2097",61 452 496 663,blackeagletattoos@gmail.com,,,Salman Ahmed,,,,,,,,,,
Legacy Ink,http://www.legacyink.com.au/,,61 401 816 897,,Email n/A,,,,,,,,,,,,
ArtistPlatinumDesigns,http://www.instagram.com/artistplatinumtattoodesigns,"2 Kerr Auburn NSW 2144, Australia",61 466 036 662,,Email n/A,,,,,,,,,,,,
Industrial Strength Body Piercing | Piercing Sydney,http://pierced.com.au/,"192 King St, Newtown, NSW, AUS, 2042",61 2 9516 2266,industrialstrengthaus@gmail.com,,,Salman Ahmed,,,,,,,,,,
Tattoo kingdom,https://tattookingdom.com.au/,"103 New Illawarra RdBexley North NSW 2207, Australia",61 414 103 103,Info@Tattookingdom.com.AU,,,Salman Ahmed,,,,,,,,,,
Tattoo Numbing Australia,http://www.tattoonumbing.com.au/,"Sydney, NSW, 2217. Australia",,shop@tattoonumbing.com.au,,,Salman Ahmed,,,,,,,,,,
Mikael Ramgard's Private Tattoo Studio,https://www.mikaelramgard.com/,"Buikmg 4/1110 Midd Head Rd, Mosman NSW 2088, Austra ia",61 450 457 834,contact@mikaelramgard.com,,,Salman Ahmed,,,,,,,,,,
Ink Cartel Seven Hills Tattoo,https://www.inkcartel.au/,"111 Hills NSW 2147, Australia",61 447 057 597,inkcartelcollective@outlook.com.au,,,Salman Ahmed,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Eazy MFKN Tiger,,,,,Email n/A,,,,,,,,,,,,
Enku Tattoo,http://www.enkutattoo.com/,"1 Pernberton Botany NSW 2019, Awtralia",61 2 9316 4565,info@enkutattoo.com,,,Salman Ahmed,,,,,,,,,,
Monarch Tattoo Studio Liverpool,http://monarchtatstudio.com.au/,"Level 1, 207 Clarence Street Sydney, NSW 2000",61 2 9734 7931,monarchtatstudio@gmail.com,,,Salman Ahmed,,,,,,,,,,
Pretty Inked,https://www.instagram.com/prettyinkedbytahnee/,"Entrance Via, Level 2, 259 Stræt. Railway St. NSW 2170,Australia",61 439 364 787,prettyinkedbytahnee@gmail.com,,,Salman Ahmed,,,,,,,,,,
Henna By Sona (Henna/Mehendi Art & Temporary Tattoo),https://www.facebook.com/hennabysonali/,,61 466 989 812,,Not A Tattoo  Website,,,,,,,,,,,,
TLD Tattoo,https://tldtattoo.com/,"102 Gymea Bay Rd Ground Floor Gymea, 2227",61 2 9538 5052,thelionsdentattoo@gmail.com,,,Salman Ahmed,,,,,,,,,,
Tattoo Connect,https://tattooconnect.com.au/,"Strathfield South, NSW, Australia, New South Wales",,info@tattooconnect.com.au,,,Salman Ahmed,,,,,,,,,,
Stone Heart [closed for renovations until December 8th 2024],https://stoneheart.com.au/,"1177 WiUiam Sydney NSW 2010, Australia",61 2 8095 0100,holes@stoneheart.com.au,,,Salman Ahmed,,,,,,,,,,
The Tattoo Assylum,https://www.facebook.com/The-Tattoo-Assylum-160659665991/,,61 2 9675 3202,,Email n/A,,,,,,,,,,,,
Fourth Gallery Cronulla,http://www.inkarcade.com.au/,,61 498 020 172,,Not A Tattoo  Website,,,,,,,,,,,,
Hollywood Tattoos Ramsgate,,,61 2 9123 6851,,Website n/A,,,,,,,,,,,,
UPPERGROUND TATTOO SYDNEY,https://instagram.com/uppergrnd?igshid=NTc4MTIwNjQ2YQ==,,,,Email n/A,,,,,,,,,,,,
Eight Studio,https://eightstudio.com.au/,148 Longueville Road Lane Cove NSW 2066,,info@eightstudio.com.au,,,Salman Ahmed,,,,,,,,,,
Fifth Gallery Tattoo Gallery,https://www.instagram.com/fifth.gallery.tattoos/?hl=en,"Shop C0-004B/200 Gilchrist Dr, Campbelltown NSW 2560, Australia",61 410 671 287,fifthgallery@thetattoogalleries.com.au,,,Salman Ahmed,,,,,,,,,,
Kailua Tattoo Studio,https://kailuastudio.com/,kvel 1113S Harris St. Pyrmmt NSW Australia,,ivachavez.tattoo@gmail.com,,,Salman Ahmed,,,,,,,,,,
Black Book Tattoo,https://blackbooktattoo.com.au/,1 Statim St. Emu Plains NSW 2750. Austraha,61 491 952 364,Theblackbooktattoo@gmail.com,,,Salman Ahmed,,,,,,,,,,
Eastern Promises Tattoo Parlour,http://easternpromises.com.au/,"Shop 4 46/48 President Ave, Caringbah, NSW, Australia, New South Wales",61 488 106 986,info@easternpromisestp.com,,,Salman Ahmed,,,,,,,,,,
Mad Hatter Ink,http://www.facebook.com/madhatterinkpenrith,"231 High Street Penrith, NSW, Australia 2750",61 2 4789 2012,info@madhatterink.com.au,,,Salman Ahmed,,,,,,,,,,
Le Jardin de Zihwa,http://lejardindezihwa.com/,,,,Not A Tattoo  Website,,,,,,,,,,,,
Tattoos by Wheatley,http://tattoosbywheatley.com/,"103180 · Lvl 2 92 Hay st Haymarket, Sydney, Australia",61 450 645 947,wheatleyserpentskirt@gmail.com,,,Salman Ahmed,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Independence Ink,http://www.independenceink.com.au/,"Suite 3/14 Hill St, Camden NSW 2570, Australia",61 404 417 240,enquiries@independenceink.com.au,,,Salman Ahmed,,,,,,,,,,
Red Star Tattoo,,,,,Website n/A,,,,,,,,,,,,
Ink Mania Tattoo Studio,http://www.inkmania.au/,4/1183-1187 The Horsley Dr Wetherill Park NSW 2164,61 2 9825 0905,info@inkmania.au,,,Salman Ahmed,,,,,,,,,,
Arya ink tattoo,,"🇦🇺1/13 William St, Fairfield NSW 2165",61 469 896 922,,Website n/A,,,,,,,,,,,,
Ben O'Grady Tattoo,https://www.facebook.com/BenOGradyTattoo/,"1/77 William St, Sydney NSW 2010, Australia", +61 2 8095 0100,ogradytattoo@hush.com,,,Salman Ahmed,,,,,,,,,,
Solid Forge Tattoo Co.,https://www.facebook.com/solidforgetattooco/,"Shop 1C, 40 Ben Lomond Road Minto, NSW, Australia 2566",61 2 9820 6872,solidforgetattoo@gmail.com,,,Salman Ahmed,,,,,,,,,,
Inking Tattoos,https://www.inkingtattoos.com/,"Sydney, NSW, Australia, New South Wales",855-100-3333,inkingtattoos@gmail.com,,,Salman Ahmed,,,,,,,,,,
ON POINT TATTOO SUPPLY,http://www.onpointtattoosupply.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=13747622347118605438,"Sydney, NSW, Australia, New South Wales", +61 404 233 832,onpointtattooneedles@gmail.com,,,Salman Ahmed,,,,,,,,,,
Babylon Ink Tattoo Studio,https://babyloninktattoo.com/,"1/275 Macquarie StLiverpool NSW 2170, Australia",61 451 111 131,babyloninktattoostudio@gmail.com,,,Salman Ahmed,,,,,,,,,,
The golden needle tattoo studio blacktown,,,61 2 9831 6626,,Website n/A,,,,,,,,,,,,
Stab Rat Body Piercing,http://www.stabrat.com.au/,"652 Crown Sc HiUs NSW 2010, Austraha",61 422 247 147,stab.rat.piercing@gmail.com,,,Salman Ahmed,,,,,,,,,,
POKES STUDIO,https://www.pokesstudio.com.au/,"82-84 Enmore Road, Newtown. NSW",,,Email N/A,,,,,,,,,,,,
Best Indian henna artist,,,61 449 659 876,,Website n/A,,,,,,,,,,,,
Sydney Tattoo Convention,https://www.sydneytattooconvention.com.au/,"483 George St, Sydney NSW 2000, Australia",,info@sydneytattooconvention.com,,,Salman Ahmed,,,,,,,,,,
Dully Ink,http://dullyink.com.au/,,61 2 9906 6130,,This Account has been suspended,,,,,,,,,,,,
STEVIE TATTOOER,http://stevietattooer.com/,422 Botany Road / Alexandria / NSW / 2015,,info@stevietattooer.com,,,Salman Ahmed,,,,,,,,,,
Piercing Lab,,,,,Website N/A,,,,,,,,,,,,
Tattoo,,,61 2 9760 2554,,Website N/A,,,,,,,,,,,,
Sydney Scalp Solutions,,,,,,,,,,,,,,,,,
Nick Matthews Tattoo,http://nickmatthewstattoo.com/,"1 Pemberton Street, Botany 2019",61 2 9316 4565,nick__matthews@hotmail.com,,,Salman Ahmed,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Horisumi - Kian Forreal,https://www.horisumi.com/,"Suite #306 4-14 Buckingham St. Surry Hills, NSW 2010 Sydney, Australia",61 2 8399 1973,horisumi@authentink.com,,,Salman Ahmed,,,,,,,,,,
Ldf Tattoo,https://www.facebook.com/LDFTattoo/,"26 King Street Newtown, Sydney, NSW, Australia, New, South Wales",,info@ldftattoo.com,,,Salman Ahmed,,,,,,,,,,
Elite Beauty Aesthetics Five Dock,http://www.elitebeautyaesthetics.com.au/,,61 402 895 447,,Not A Tattoo  Website,,,,,,,,,,,,
TattooH,,,61 2 9279 0085,,Website N/A,,,,,,,,,,,,
Australian Tattoo Supply,https://www.austattoosupply.com/,,61 414 101 766,,Not A Tattoo  Website,,,,,,,,,,,,
Lita Brows & Ink,http://www.litabrowboutique.com/,,61 412 600 018,,Not A Tattoo  Website,,,,,,,,,,,,
Bright Light Studio,https://www.facebook.com/BrightLightStudiopty/,,61 2 9818 1961,,Not A Tattoo  Website,,,,,,,,,,,,
Inner West Tattoo,,,,,Website N/A,,,,,,,,,,,,
AMBER KATE KELLY,https://www.facebook.com/Amberkatekelly/,"Chippendale, NSW, Australia, New South Wales",,AmberKateKelly@gmail.com,,,Salman Ahmed,,,,,,,,,,
Baxter Cosmetic Tattoo,https://www.facebook.com/baxtercosmetictattoo/,"150 Abercrombie St. Redfern, Sydney, NSW, Australia, New South Wales",,baxtercosmetictattoo@gmail.com,,,Salman Ahmed,,,,,,,,,,
Mikhala Rose Tattoos,http://mikhalarose.com.au/,"Sydney, Australia 128 King St, Newtown",61 2 9550 3813,info@mikhalarose.com.au,,,Salman Ahmed,,,,,,,,,,
Original Tattoo Wear,https://www.facebook.com/originaltattoowear/,"u92/569 George St, Sydney NSW 2000, Australia", +61 403 228 458,originaltattoowear@gmail.com,,,Salman Ahmed,,,,,,,,,,
Removery Tattoo Removal & Fading,https://removery.com/au/tattoo-removal/locations/nsw/sydney/cremorne/?rsi=0aafe216-113c-47a3-afb8-1ab411d6e99e&utm_source=GoogleMyBusiness&utm_medium=SOCi&utm_campaign=Tier1_Sydney_Cremorne,"Shop 123, Pacific Werribee , 250 Heaths Road, Hoppers Crossing, VIC, 3029﻿",61 2 7201 5265,careers@removery.com,,,Salman Ahmed,,,,,,,,,,
Vyn Tattoo,,,,,Website N/A,,,,,,,,,,,,
Wicked Laser Tattoo Removal,http://wickedlaser.com.au/,"Shop 6/12 Tindale Street, Penrith NSW 2750",61 433 229 107,contact@wickedink.com.au,,,Salman Ahmed,,,,,,,,,,
Adi Studio,http://www.adistudio.ie/,,61 451 299 777,,Not A Tattoo  Website,,,,,,,,,,,,
Lilac Beauty,https://www.lilacbeauty.com.au/,,61 456 296 373,,Not A Tattoo  Website,,,,,,,,,,,,
Cosmetic Tattoo by Rosalie,http://cosmetictattooartist.com.au/,,61 411 199 947,,Not A Tattoo  Website,,,,,,,,,,,,
Suprema Tattoo studios178,http://www.thedarlingparlour.com.au/,,61 2 9555 6316,,Dubalicate,,,,,,,,,,,,
Maddi Tattoo,https://madditattoo.com/,"Whistler Street Tattoo, 23 Whistler Street, Manly, Sydney, Australia",  +61 2 9976 2263,madditattoo@gmail.com,,,Salman Ahmed,,,,,,,,,,
KOHL DESIGN STUDIO,http://www.kohlbeauty.com.au/,,61 433 630 662,,Not A Tattoo  Website,,,,,,,,,,,,
After Dark Gallery Tattoo,https://www.afterdarkgallery.com.au/,5/6 WARATAH STREET MONA VALE NSW 2103,,AFTER.DARK.GÅLLERY@GMAIL.COM,,,Salman Ahmed,,,,,,,,,,
Skinmedics Clinic,https://www.skinmedics.com.au/,,61 2 9571 8622,,Not A Tattoo  Website,,,,,,,,,,,,
The Tattooed Fae,https://thetattooedfae.com/,,,,Email N/A,,,,,,,,,,,,
GARETH DAVIES TATTOO,http://garrytatts.com/,"Shop 2/2537-2539 Gold Coast HwyMermaid Beach QLD 4217, Australia",,garryfineline@gmail.com,,,Salman Ahmed,,,,,,,,,,
Westside Tattoo Brisbane,http://westsidetattoobrisbane.com/,"83 Brunswick Street Fortitude Valley, QLD, Australia 4006",61 7 3844 0711,westsidetattoobrisbane@gmail.com,,,Salman Ahmed,,,,,,,,,,
Wild At Heart Tattoo,http://wildathearttattoo.com/,"60 Charlotte St, Brisbane City QLD 4000, Australia",61 7 3003 0900,hi@wildathearttattoo.com.au,,,Salman Ahmed,,,,,,,,,,
Seventh Circle Studio,https://seventhcirclestudio.com.au/,"Level 2, 815 Stanley St,Woolloongabba, Woolloongabba, QLD, Australia, Queensland",61 7 3168 2664,seventhcirclestudiobne@gmail.com,,,Salman Ahmed,,,,,,,,,,
CB Ink Tattoo Brisbane,http://www.cbinktattoo.com.au/,"Shop 1, 491 Lutwyche Road Lutwyche, Brisbane, QLD, 4030",61 7 3857 5552,info@cbinktattoo.com.au,,,Salman Ahmed,,,,,,,,,,
Tailor Made Tattoo,http://www.tailormadetattoo.com.au/,"43 Annerley Rd. QLD 4101, AustraEa",61 423 176 620,infotailormadetattoo@gmail.com,,,Salman Ahmed,,,,,,,,,,
Valley Ink Tattoo Studio,http://valleyinktattoo.com.au/,"4/421 Brunswick St, Fortitude Valley QLD",61 411 351 174,booking@valleyinktattoo.com.au,,,Salman Ahmed,,,,,,,,,,
Hailey Blossom Tattoo studio,http://www.haileyblossom.com/,"SE3 3195 Surfers paradise bvd, Surfers paradise QLD 4217",61 7 3831 0027,xxhaileyblossomxx@gmail.com,,,Salman Ahmed,,,,,,,,,,
Punktured Tattoo,http://www.punktured.com.au/,"136 Qi-ren St. City QLD 40(1), Australia",61 7 3521 0134,info@punktured.com.au,,,Salman Ahmed,,,,,,,,,,
Black Ivy Tattoo,http://www.blackivytattoo.com.au/,"440 Hamilton RdChermside QLD 4032, Australia",07 3256 3999,blackivytattoo@gmail.com,,,Salman Ahmed,,,,,,,,,,
Brisbane Tattoo,http://brisbanetattoo.com.au/,"Lutwy«he Rd, Lutwyche QLD Australia",,info@brisbanetattoo.com.au,,,Salman Ahmed,,,,,,,,,,
Fox & Moon Tattoo,http://www.foxandmoontattoo.com.au/,"243 Lutwyche Road Windsor , Brisbane, QLD, Australia, Queensland",61 411 570 360,info@foxandmoontattoo.com.au,,,Salman Ahmed,,,,,,,,,,
Oracle Tattoo Brisbane,https://oracletattoo.bigcartel.com/,"11 Brownhg St. South BrÉbme QLD 4101 , Austraia",61 420 231 737,support@bigcartel.com,,,Salman Ahmed,,,,,,,,,,
Tree of Life Tattoo Studio,https://treeoflifetattoostudio.com.au/,,61 456 353 002,,Email N/A,,,,,,,,,,,,
Paragon Tattoo,http://www.paragontattoo.com.au/,"779b Gympie Rd, Chermside QLD 4032​",61 7 3706 8768,info@paragontattoo.com.au,,,Salman Ahmed,,,,,,,,,,
Nu Pike Tattoo,http://www.nupiketattoo.com.au/,"138 Wickham Street, Fortitude Valley QLD 4006",61 7 3252 5319,info@nupiketattoo.com.au,,,Salman Ahmed,,,,,,,,,,
Old Soul Tattoo Studio,http://www.oldsoultattoostudio.com/,"3/158 Boundary West End QLD 4101, AustraEa",,contactoldsoultattoostudio@gmail.com,,,Salman Ahmed,,,,,,,,,,
Evil Eye Tattoo Studio,http://www.evileyetattoostudio.com/,"21-29 MacArthur Street, ALEXANDRA HILLS, 4161, QLD",,evileyetattoostudio@gmail.com,,,Salman Ahmed,,,,,,,,,,
True Love Tattoo,https://www.chicksdigtruelove.com/,465 Oxley Road Sherwood Brisbane QLD Australia 4075,61 7 3379 2999,truelovetattoos@hotmail.com,,,Salman Ahmed,,,,,,,,,,
Thrillhouse Tattoo,https://www.thrillhousetattoo.com/,"559 Old Cleveland Rd, Brisbane, QLD, Australia, Queensland",61 450 914 511,Info@thrillhousetattoo.com,,,Salman Ahmed,,,,,,,,,,
Temple Tattoo,https://www.templetattoo.com.au/,2/1265 Sandgate Road Nundah Brisbane 4012,61 7 3705 3495,info@templetattoo.com.au,,,Salman Ahmed,,,,,,,,,,
Lovesick Tattoo Studio,http://lovesicktattoo.com/,"6/31 Black Street, Milton, QLD, 4064",61 434 887 357,hello@lovesicktattoo.com,,,Salman Ahmed,,,,,,,,,,
First & Main Tattoo,http://www.firstandmaintattoo.com.au/,"2/160 Musgrave Road, Red Hill, QLD",61 7 2111 1419,firstandmaintattoo@gmail.com,,,Salman Ahmed,,,,,,,,,,
