MDU Site Information Site ID,Place Information Full Address,,State,Market code,,Provider
CALAX1853,"1176 Kingsley Drive, Los Angeles, CA, 90029","1176 Kingsley Drive, Los Angeles, CA, 90029",CA,LAX,Result Not Found,
CALAX1858,"1901 Overland Avenue, Los Angeles, CA, 90025","1901 Overland Avenue, Los Angeles, CA, 90025",CA,LAX,,Air
CALAX1922,"1923 Selby Avenue, Los Angeles, CA, 90025","1923 Selby Avenue, Los Angeles, CA, 90025",CA,LAX,,Air
CALAX1925,"3555 San Marino Street, Los Angeles, CA, 90019","3555 San Marino Street, Los Angeles, CA, 90019",CA,LAX,,
CALAX1931,"3718 Mentone Avenue, Los Angeles, CA, 90034","3718 Mentone Avenue, Los Angeles, CA, 90034",CA,LAX,AT&T Internet Air is available,
CALAX2121,"3432 Keystone Avenue, Los Angeles, CA, 90034","3432 Keystone Avenue, Los Angeles, CA, 90034",CA,LAX,,Air
CALAX2151,"1546 South Bundy Drive, Los Angeles, CA, 90025","1546 South Bundy Drive, Los Angeles, CA, 90025",CA,LAX,,Air
CALAX2154,"1021 North Harper Avenue, West Hollywood, CA, 90069","1021 North Harper Avenue, West Hollywood, CA, 90069",CA,LAX,,No
CALAX2202,"617 Dillon Street, Los Angeles, CA, 90026","617 Dillon Street, Los Angeles, CA, 90026",CA,LAX,,
CALAX2208,"1416 Amherst Avenue, Los Angeles, CA, 90025","1416 Amherst Avenue, Los Angeles, CA, 90025",CA,LAX,,
CALAX2208,"1418 Amherst Avenue, Los Angeles, CA, 90025","1418 Amherst Avenue, Los Angeles, CA, 90025",CA,LAX,,
CALAX2214,"10822 Rose Avenue, Los Angeles, CA, 90034","10822 Rose Avenue, Los Angeles, CA, 90034",CA,LAX,,
CALAX2254,"1427 North Gardner Street, Los Angeles, CA, 90046","1427 North Gardner Street, Los Angeles, CA, 90046",CA,LAX,,
CALAX2307,"854 Glenway Drive, Inglewood, CA, 90302","854 Glenway Drive, Inglewood, CA, 90302",CA,LAX,,
CALAX2362,"4601 West Martin Luther King Jr Boulevard, Los Angeles, CA, 90016","4601 West Martin Luther King Jr Boulevard, Los Angeles, CA, 90016",CA,LAX,,
CALAX2372,"11716 Gurley Avenue, Downey, CA, 90241","11716 Gurley Avenue, Downey, CA, 90241",CA,LAX,,
CALAX2384,"1540 South Gramercy Place, Los Angeles, CA, 90019","1540 South Gramercy Place, Los Angeles, CA, 90019",CA,LAX,,
CALAX2390,"1408 South Saint Andrew's Place, Los Angeles, CA, 90019","1408 South Saint Andrew's Place, Los Angeles, CA, 90019",CA,LAX,,
CALAX2397,"1541 South Saint Andrew's Place, Los Angeles, CA, 90019","1541 South Saint Andrew's Place, Los Angeles, CA, 90019",CA,LAX,,
CALAX2399,"1414 South Saint Andrew's Place, Los Angeles, CA, 90019","1414 South Saint Andrew's Place, Los Angeles, CA, 90019",CA,LAX,,
CALAX2404,"1769 El Cerrito Place, Los Angeles, CA, 90028","1769 El Cerrito Place, Los Angeles, CA, 90028",CA,LAX,,
CALAX2406,"324 South Rampart Boulevard, Los Angeles, CA, 90057","324 South Rampart Boulevard, Los Angeles, CA, 90057",CA,LAX,,
CALAX2415,"6858 De Longpre Avenue, Los Angeles, CA, 90028","6858 De Longpre Avenue, Los Angeles, CA, 90028",CA,LAX,,
CALAX2415,"6860 De Longpre Avenue, Los Angeles, CA, 90028","6860 De Longpre Avenue, Los Angeles, CA, 90028",CA,LAX,,
CALAX2416,"461 South Cloverdale Avenue, Los Angeles, CA, 90036","461 South Cloverdale Avenue, Los Angeles, CA, 90036",CA,LAX,,
CALAX2418,"1227 N Crescent, West Hollywood, CA, 90046","1227 N Crescent, West Hollywood, CA, 90046",CA,LAX,,
CALAX2425,"8812 West Pico Boulevard, Los Angeles, CA, 90035","8812 West Pico Boulevard, Los Angeles, CA, 90035",CA,LAX,,
CALAX2426,"3633 Mentone Avenue, Los Angeles, CA, 90034","3633 Mentone Avenue, Los Angeles, CA, 90034",CA,LAX,,
CALAX2427,"1727 Edgemont Street, Los Angeles, CA, 90027","1727 Edgemont Street, Los Angeles, CA, 90027",CA,LAX,,
CALAX2430,"1227 North Hayworth Avenue, West Hollywood, CA, 90046","1227 North Hayworth Avenue, West Hollywood, CA, 90046",CA,LAX,,
CALAX2433,"1224 N Crescent, WEST HOLLYWOOD, CA, 90046","1224 N Crescent, WEST HOLLYWOOD, CA, 90046",CA,LAX,,
CALAX2434,"121 North Clark Drive, West Hollywood, CA, 90048","121 North Clark Drive, West Hollywood, CA, 90048",CA,LAX,,
CALAX2465,"1852 North Wilton Place, Los Angeles, CA, 90028","1852 North Wilton Place, Los Angeles, CA, 90028",CA,LAX,,
CALAX2468,"150 North Sycamore Avenue, Los Angeles, CA, 90036","150 North Sycamore Avenue, Los Angeles, CA, 90036",CA,LAX,,
CALAX2468,"154 North Sycamore Avenue, Los Angeles, CA, 90036","154 North Sycamore Avenue, Los Angeles, CA, 90036",CA,LAX,,
CALAX2468,"152 North Sycamore Avenue, Los Angeles, CA, 90036","152 North Sycamore Avenue, Los Angeles, CA, 90036",CA,LAX,,
CALAX2476,"226 South Fuller Avenue, Los Angeles, CA, 90036","226 South Fuller Avenue, Los Angeles, CA, 90036",CA,LAX,,
CALAX2480,"5533 Sierra Vista Avenue, Los Angeles, CA, 90038","5533 Sierra Vista Avenue, Los Angeles, CA, 90038",CA,LAX,,
CALAX2503,"10464 Santa Monica Boulevard, Los Angeles, CA, 90025","10464 Santa Monica Boulevard, Los Angeles, CA, 90025",CA,LAX,,
CALAX2513,"2331 Ocean View Avenue, Los Angeles, CA, 90057","2331 Ocean View Avenue, Los Angeles, CA, 90057",CA,LAX,,
CALAX2559,"335 West Kelso Street, Inglewood, CA, 90301","335 West Kelso Street, Inglewood, CA, 90301",CA,LAX,,
CALAX2560,"6538 Brynhurst Avenue, Los Angeles, CA, 90043","6538 Brynhurst Avenue, Los Angeles, CA, 90043",CA,LAX,,
CALAX2565,"8397 Fountain Avenue, West Hollywood, CA, 90069","8397 Fountain Avenue, West Hollywood, CA, 90069",CA,LAX,,
CALAX2584,"636 South Cochran Avenue, Los Angeles, CA, 90036","636 South Cochran Avenue, Los Angeles, CA, 90036",CA,LAX,,
CALAX2586,"845 South Saint Andrew's Place, Los Angeles, CA, 90005","845 South Saint Andrew's Place, Los Angeles, CA, 90005",CA,LAX,,
CALAX2588,"1233 North Laurel Avenue, West Hollywood, CA, 90046","1233 North Laurel Avenue, West Hollywood, CA, 90046",CA,LAX,,
CALAX2600,"1475 Long Beach Avenue, Los Angeles, CA, 90021","1475 Long Beach Avenue, Los Angeles, CA, 90021",CA,LAX,,
CALAX2604,"2939 East 11th Street, Los Angeles, CA, 90023","2939 East 11th Street, Los Angeles, CA, 90023",CA,LAX,,
CASFV0118,"5420 Yolanda Avenue, Tarzana, CA, 91356","5420 Yolanda Avenue, Tarzana, CA, 91356",CA,LAX,,
CASFV0364,"14604 Gault Street, Van Nuys, CA, 91405","14604 Gault Street, Van Nuys, CA, 91405",CA,LAX,,Air
CASFV0403,"4854 Hazeltine Avenue, Sherman Oaks, CA, 91423","4854 Hazeltine Avenue, Sherman Oaks, CA, 91423",CA,LAX, AT&T Internet is available at:,
CASFV0403,"4860 Hazeltine Avenue, Sherman Oaks, CA, 91423","4860 Hazeltine Avenue, Sherman Oaks, CA, 91423",CA,LAX,,Air
CASFV0536,"7021 Jordan Avenue, Canoga Park, CA, 91303","7021 Jordan Avenue, Canoga Park, CA, 91303",CA,LAX,,Air
CASFV0585,"4547 Colbath Avenue, Sherman Oaks, CA, 91423","4547 Colbath Avenue, Sherman Oaks, CA, 91423",CA,LAX,Result Not Found,
CASFV0592,"15150 Dickens Street, Sherman Oaks, CA, 91403","15150 Dickens Street, Sherman Oaks, CA, 91403",CA,LAX,Result Not Found,
CASFV0594,"11910 Weddington Street, Valley Village, CA, 91607","11910 Weddington Street, Valley Village, CA, 91607",CA,LAX,Result Not Found,
CASFV0619,"4565 Hazeltine Avenue, Sherman Oaks, CA, 91423","4565 Hazeltine Avenue, Sherman Oaks, CA, 91423",CA,LAX,Result Not Found,
CASFV0641,"14025 Moorpark Street, Sherman Oaks, CA, 91423","14025 Moorpark Street, Sherman Oaks, CA, 91423",CA,LAX,,Air
CASFV0642,"12142 Oxnard Street, North Hollywood, CA, 91606","12142 Oxnard Street, North Hollywood, CA, 91606",CA,LAX,Result Not Found,
CASFV0702,"315 North Howard Street, Glendale, CA, 91206","315 North Howard Street, Glendale, CA, 91206",CA,LAX,Result Not Found,
CASFV0702,"319 North Howard Street, Glendale, CA, 91206","319 North Howard Street, Glendale, CA, 91206",CA,LAX,Result Not Found,
CASFV0709,"4421 Murietta Avenue, Sherman Oaks, CA, 91423","4421 Murietta Avenue, Sherman Oaks, CA, 91423",CA,LAX,,Air
CASFV0710,"10625 Bloomfield Street, North Hollywood, CA, 91602","10625 Bloomfield Street, North Hollywood, CA, 91602",CA,LAX,Result Not Found,
CASFV0730,"6624 Sylmar Avenue, Van Nuys, CA, 91405","6624 Sylmar Avenue, Van Nuys, CA, 91405",CA,LAX,,Air
CASFV0735,"15211 Sherman Way, Van Nuys, CA, 91405","15211 Sherman Way, Van Nuys, CA, 91405",CA,LAX,Result Not Found,
LAX-0000ED,"2320 Ocean View Avenue, Los Angeles, CA, 90057","2320 Ocean View Avenue, Los Angeles, CA, 90057",CA,LAX,,Air
LAX-0001D7,"521 East Palm Avenue, Burbank, CA, 91501","521 East Palm Avenue, Burbank, CA, 91501",CA,LAX,Result Not Found,
