Name,"Address (format: ""10 Jackson Rd, Orlando, FL, 84312"")",,Phone number,Website,Google Maps link (clickable link to access Maps page),Worker
Irving Coppell Primary Care and Pediatrics,3365 Regent Blvd #110,"3365 Regent Blvd #110, Irving, TX, 75063",(469) 713-3838,http://www.irvingcoppellprimarycare.com/,https://www.google.com/maps/place/Irving+Coppell+Primary+Care+and+Pediatrics/data=!4m7!3m6!1s0x864c2999638af67f:0xd65e51814525855b!8m2!3d32.9209116!4d-96.9916011!16s%2Fg%2F11dztr52ch!19sChIJf_aKY5kpTIYRW4UlRYFRXtY?authuser=0&hl=en&rclk=1,
Centrum Health,2450 N Belt Line Rd #110,"2450 N Belt Line Rd #110, Irving, TX, 75062",(214) 206-4706,https://www.centrumhealth.com/,https://www.google.com/maps/place/Centrum+Health/data=!4m7!3m6!1s0x864e835fda804217:0x7ea040520605f155!8m2!3d32.840576!4d-96.992863!16s%2Fg%2F11pz7yzxfm!19sChIJF0KA2l-DToYRVfEFBlJAoH4?authuser=0&hl=en&rclk=1,
"Dr. Robert M. Haman, DO",1239 E Irving Blvd,"1239 E Irving Blvd, Irving, TX, 75060",(972) 579-8011,https://www.bswhealth.com/physician/robert-haman,"https://www.google.com/maps/place/Dr.+Robert+M.+Haman,+DO/data=!4m7!3m6!1s0x864e834f9258484b:0x8095b57a27014465!8m2!3d32.8100258!4d-96.930812!16s%2Fg%2F1v6p4p_b!19sChIJS0hYkk-DToYRZUQBJ3q1lYA?authuser=0&hl=en&rclk=1",
CareNow Urgent Care - Las Colinas - MacArthur,7400 N MacArthur Blvd,"7400 N MacArthur Blvd, Irving, TX, 75063",(469) 804-9295,https://www.carenow.com/locations/dallas-fort-worth/macarthur-blvd?utm__campaign=corp_listings_mgmt&utm_source=google&utm_medium=business_listing,https://www.google.com/maps/place/CareNow+Urgent+Care+-+Las+Colinas+-+MacArthur/data=!4m7!3m6!1s0x864c283606c8951b:0x847832ff5a49df83!8m2!3d32.9075239!4d-96.9582825!16s%2Fg%2F11bttrnvrv!19sChIJG5XIBjYoTIYRg99JWv8yeIQ?authuser=0&hl=en&rclk=1,
Integra Urgent Care - Las Colinas,7447 N MacArthur Blvd Suite 190,"7447 N MacArthur Blvd Suite 190, Irving, TX, 75063",(972) 861-5200,https://integrauc.com/locations/lascolinas/?utm_source=gbp&utm_medium=organic&utm_campaign=lascolinas,https://www.google.com/maps/place/Integra+Urgent+Care+-+Las+Colinas/data=!4m7!3m6!1s0x864c284a799792a7:0x32d0dabd270ef5fc!8m2!3d32.9081481!4d-96.9606747!16s%2Fg%2F1tfhgtl6!19sChIJp5KXeUooTIYR_PUOJ73a0DI?authuser=0&hl=en&rclk=1,
"Cure With Care Pediatric: Kshitij Bhalani, MD",1107 S MacArthur Blvd,"1107 S MacArthur Blvd, Irving, TX, 75060",(972) 752-7127,https://www.curewithcarepediatric.com/,"https://www.google.com/maps/place/Cure+With+Care+Pediatric:+Kshitij+Bhalani,+MD/data=!4m7!3m6!1s0x864e83d880764933:0x4ff1353442db49c7!8m2!3d32.8024176!4d-96.9594571!16s%2Fg%2F11td12txpv!19sChIJM0l2gNiDToYRx0nbQjQ18U8?authuser=0&hl=en&rclk=1",
Macarthur Medical Center,3501 N MacArthur Blvd STE 500,"3501 N MacArthur Blvd Suite 500, Irving, TX, 75062",(972) 256-3700,http://macarthurmc.com/,https://www.google.com/maps/place/Macarthur+Medical+Center/data=!4m7!3m6!1s0x864e83980c66e393:0xc439773d576e9a91!8m2!3d32.8524699!4d-96.9591932!16s%2Fg%2F11h807d3nl!19sChIJk-NmDJiDToYRkZpuVz13OcQ?authuser=0&hl=en&rclk=1,
Baylor Scott & White Urgent Care - Irving,2021 N MacArthur Blvd # 115,"2021 N MacArthur Blvd #115, Irving, TX, 75061",(972) 817-1440,https://www.bswhealth.com/locations/urgent-care-irving?utm_source=google-mybusiness&utm_medium=organic&utm_campaign=29985-9717328&utm_content=main-website,https://www.google.com/maps/place/Baylor+Scott+%26+White+Urgent+Care+-+Irving/data=!4m7!3m6!1s0x864e83a61aed311d:0x2e13b6977171bd5f!8m2!3d32.8349908!4d-96.962049!16s%2Fg%2F11j6xjn8hs!19sChIJHTHtGqaDToYRX71xcZe2Ey4?authuser=0&hl=en&rclk=1,
DFW Family Clinic - Irving,3501 N MacArthur Blvd STE 330,"3501 N MacArthur Blvd Suite 330, Irving, TX, 75062",(972) 887-3376,https://dfwfamilyclinic.com/?utm_campaign=gmb,https://www.google.com/maps/place/DFW+Family+Clinic+-+Irving/data=!4m7!3m6!1s0x864e83b2d3e97c0f:0x6676a211a917e721!8m2!3d32.8525721!4d-96.9599366!16s%2Fg%2F11np3pw74h!19sChIJD3zp07KDToYRIecXqRGidmY?authuser=0&hl=en&rclk=1,
EcCare Health Centers Irving - THIS OFFICE IS CLOSED PERMANENTLY,2233 E Grauwyler Rd #110,"2233 E Grauwyler Rd #110, Irving, TX, 75061",(972) 659-1234,http://www.eccare.com/,https://www.google.com/maps/place/EcCare+Health+Centers+Irving+-+THIS+OFFICE+IS+CLOSED+PERMANENTLY/data=!4m7!3m6!1s0x864e83ace36eac3d:0xf9a8c30f860e2cf8!8m2!3d32.8310725!4d-96.9119522!16s%2Fg%2F1hc682cz3!19sChIJPaxu46yDToYR-CwOhg_DqPk?authuser=0&hl=en&rclk=1,
Baylor Scott & White Medical & Surgical Clinic - Las Colinas (Primary Care),400 W Lyndon B Johnson Fwy Ste 220,"400 W Lyndon B Johnson Fwy Suite 220, Irving, TX, 75063",(972) 817-1000,https://www.bswhealth.com/locations/medical-and-surgical-clinic-las-colinas-primary-care?utm_source=google-mybusiness&utm_medium=organic&utm_campaign=29985-9717432&utm_content=main-website,https://www.google.com/maps/place/Baylor+Scott+%26+White+Medical+%26+Surgical+Clinic+-+Las+Colinas+%28Primary+Care%29/data=!4m7!3m6!1s0x864c29c175af9cd3:0x8fe759e8934ce894!8m2!3d32.9100353!4d-96.9529086!16s%2Fg%2F11t18dgjgw!19sChIJ05yvdcEpTIYRlOhMk-hZ548?authuser=0&hl=en&rclk=1,
Baylor Scott & White Medical & Surgical Clinic - Irving (Primary Care I),2021 N MacArthur Blvd # 325,"2021 N MacArthur Blvd #325, Irving, TX, 75061",(972) 817-1000,https://www.bswhealth.com/locations/medical-and-surgical-clinic-irving?utm_source=google-mybusiness&utm_medium=organic&utm_campaign=29985-9717506&utm_content=main-website,https://www.google.com/maps/place/Baylor+Scott+%26+White+Medical+%26+Surgical+Clinic+-+Irving+%28Primary+Care+I%29/data=!4m7!3m6!1s0x864e83d4ecd5149b:0x21d49b05d110c2c6!8m2!3d32.8356108!4d-96.9622417!16s%2Fg%2F11vzgcwm4q!19sChIJmxTV7NSDToYRxsIQ0QWb1CE?authuser=0&hl=en&rclk=1,
Texas Primary & Pediatric Care,7429 Las Colinas Blvd Ste 101,"7429 Las Colinas Blvd Suite 101, Irving, TX, 75063",(469) 442-0202,https://www.tppcare.com/,https://www.google.com/maps/place/Texas+Primary+%26+Pediatric+Care/data=!4m7!3m6!1s0x864c295f788a4bf5:0x8aa6f87e98f5b383!8m2!3d32.9089268!4d-96.9544223!16s%2Fg%2F11fnyphrq8!19sChIJ9UuKeF8pTIYRg7P1mH74poo?authuser=0&hl=en&rclk=1,
Wellmed at Irving,6161 State Hwy 161 Suite 200,"6161 State Hwy 161 Suite 200, Irving, TX, 75038",(972) 258-7499,https://doctors.wellmedhealthcare.com/locations/details/115565?utm_source=google&utm_medium=organic&utm_campaign=local-listings,https://www.google.com/maps/place/Wellmed+at+Irving/data=!4m7!3m6!1s0x864e828afd577961:0xb6b32f69c68ef5e5!8m2!3d32.8916803!4d-96.9807309!16s%2Fg%2F1wn3424s!19sChIJYXlX_YqCToYR5fWOxmkvs7Y?authuser=0&hl=en&rclk=1,
Baylor Scott & White Community Clinic - Irving,2021 N MacArthur Blvd #210,"2021 N MacArthur Blvd #210, Irving, TX, 75061",(469) 800-1000,https://www.bswhealth.com/locations/community-clinic-irving?utm_source=google-mybusiness&utm_medium=organic&utm_campaign=29985-9717613&utm_content=main-website,https://www.google.com/maps/place/Baylor+Scott+%26+White+Community+Clinic+-+Irving/data=!4m7!3m6!1s0x864e83fc1cb99ef7:0x99aabbe1d16d7b8e!8m2!3d32.8351044!4d-96.9620556!16s%2Fg%2F11jfjx31fy!19sChIJ9565HPyDToYRjntt0eG7qpk?authuser=0&hl=en&rclk=1,
Baylor Scott & White Internal Medicine Associates - Irving,2005 W Park Dr Ste 300,"2005 W Park Dr Suite 300, Irving, TX, 75061",(469) 800-1050,https://www.bswhealth.com/locations/internal-medicine-associates-irving?utm_source=google-mybusiness&utm_medium=organic&utm_campaign=29985-9717612&utm_content=main-website,https://www.google.com/maps/place/Baylor+Scott+%26+White+Internal+Medicine+Associates+-+Irving/data=!4m7!3m6!1s0x864e830130ccb509:0xbbb4894d49f915a1!8m2!3d32.835305!4d-96.9632661!16s%2Fg%2F1tgj96yv!19sChIJCbXMMAGDToYRoRX5SU2JtLs?authuser=0&hl=en&rclk=1,
WellMed at Irving South,3501 N MacArthur Blvd #350a,"3501 N MacArthur Blvd #350A, Irving, TX, 75062",(972) 607-2340,https://doctors.wellmedhealthcare.com/locations/details/116401?utm_source=google&utm_medium=organic&utm_campaign=local-listings,https://www.google.com/maps/place/WellMed+at+Irving+South/data=!4m7!3m6!1s0x864e83d1c5c8f02d:0xb039e48fd6f5803f!8m2!3d32.8524223!4d-96.9599487!16s%2Fg%2F11gj0v0l6_!19sChIJLfDIxdGDToYRP4D11o_kObA?authuser=0&hl=en&rclk=1,
Huang Alfred C MD,117 N MacArthur Blvd,"117 N MacArthur Blvd, Irving, TX, 75061",(972) 254-4477,https://www.irvingfamilycare.com/,https://www.google.com/maps/place/Huang+Alfred+C+MD/data=!4m7!3m6!1s0x864e8374e93ae621:0xdb7a4ff22e002b6c!8m2!3d32.8163861!4d-96.9602716!16s%2Fg%2F1td2v9kn!19sChIJIeY66XSDToYRbCsALvJPets?authuser=0&hl=en&rclk=1,
"Shalin Parikh, MD",3601 Regent Blvd Suite 165,"3601 Regent Blvd Suite 165, Irving, TX, 75063",(469) 262-5762,https://healthonemedicine.com/,"https://www.google.com/maps/place/Shalin+Parikh,+MD/data=!4m7!3m6!1s0x864c29f5a4679501:0x1064c6848b9fb51a!8m2!3d32.921046!4d-96.9962739!16s%2Fg%2F11h5wb7krf!19sChIJAZVnpPUpTIYRGrWfi4TGZBA?authuser=0&hl=en&rclk=1",
"Clinica Tu Salud: Jaxel Lopez, MD",245 E Grauwyler Rd #122,"245 E Grauwyler Rd #122, Irving, TX, 75061",(972) 846-6128,http://www.clinicatusalud.com/,"https://www.google.com/maps/place/Clinica+Tu+Salud:+Jaxel+Lopez,+MD/data=!4m7!3m6!1s0x864e831818a2d877:0xd65b836803f8a29c!8m2!3d32.8304346!4d-96.9433114!16s%2Fg%2F11f3n5xx5z!19sChIJd9iiGBiDToYRnKL4A2iDW9Y?authuser=0&hl=en&rclk=1",
AymanCare Valley Ranch | Primary Care Clinic,10009 N MacArthur Blvd Suit 109,"10009 N MacArthur Blvd Suite 109, Irving, TX, 75063",(469) 913-7043,https://www.aymancare.com/valley-ranch?y_source=1_NDAxMjA0MTAtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,https://www.google.com/maps/place/AymanCare+Valley+Ranch+%7C+Primary+Care+Clinic/data=!4m7!3m6!1s0x864c290c6061c197:0xc8319fe51d549e84!8m2!3d32.9416489!4d-96.9528289!16s%2Fg%2F11lm4xcy_2!19sChIJl8FhYAwpTIYRhJ5UHeWfMcg?authuser=0&hl=en&rclk=1,
WellHealth Las Colinas,5260 N O'Connor Blvd Suite 170,"5260 N O'Connor Blvd Suite 170, Irving, TX, 75039",(281) 862-3764,https://www.wellhealth.studio/,https://www.google.com/maps/place/WellHealth+Las+Colinas/data=!4m7!3m6!1s0x864e8394827d9e81:0x6d045b1afcd922a3!8m2!3d32.8697883!4d-96.9372551!16s%2Fg%2F11jg63cz6d!19sChIJgZ59gpSDToYRoyLZ_BpbBG0?authuser=0&hl=en&rclk=1,
Baylor Scott & White Medical & Surgical Clinic - Irving (Primary Care II),2021 N MacArthur Blvd #350,"2021 N MacArthur Blvd #350, Irving, TX, 75061",(972) 817-1000,https://www.bswhealth.com/locations/medical-and-surgical-clinic-irving?utm_source=google-mybusiness&utm_medium=organic&utm_campaign=29985-9717507&utm_content=main-website,https://www.google.com/maps/place/Baylor+Scott+%26+White+Medical+%26+Surgical+Clinic+-+Irving+%28Primary+Care+II%29/data=!4m7!3m6!1s0x864e8325850c0f91:0x8f457a2e7ecfee1!8m2!3d32.8353918!4d-96.9621149!16s%2Fg%2F11vx7b4snn!19sChIJkQ8MhSWDToYR4f7s56JX9Ag?authuser=0&hl=en&rclk=1,
USMD MacArthur Clinic,,,(972) 373-0303,https://www.usmd.com/locations-nav/locations/tx/usmd-macarthur-clinic-6750-n-macarthur-blvd-ste-150-irving-tx-75039/DMC46403947.html,https://www.google.com/maps/place/USMD+MacArthur+Clinic/data=!4m7!3m6!1s0x864c29d162d0326b:0xffc4eb9f2095d24d!8m2!3d32.9012704!4d-96.957053!16s%2Fg%2F11q7fjpsdw!19sChIJazLQYtEpTIYRTdKVIJ_rxP8?authuser=0&hl=en&rclk=1,
Jacob Pediatrics and Family Medicine,2308 W Grauwyler Rd,"2308 W Grauwyler Rd, Irving, TX, 75061",(972) 790-8300,http://jacobpediatrics.com/,https://www.google.com/maps/place/Jacob+Pediatrics+and+Family+Medicine/data=!4m7!3m6!1s0x864e83b1a3f65d15:0x8d122bebd1f92d1d!8m2!3d32.828705!4d-96.9755633!16s%2Fg%2F1pp2tz76q!19sChIJFV32o7GDToYRHS350esrEo0?authuser=0&hl=en&rclk=1,
Imaging Centers,,,,,,
Envision Imaging of Las Colinas,925 W Royal Ln #100,"925 W Royal Ln #100, Irving, TX, 75039",(214) 483-6200,https://www.envrad.com/location/envision-imaging-of-las-colinas/,https://www.google.com/maps/place/Envision+Imaging+of+Las+Colinas/data=!4m7!3m6!1s0x864c282d652e5a9f:0xe249023aea7a99b3!8m2!3d32.8969215!4d-96.9614586!16s%2Fg%2F1hhh25742!19sChIJn1ouZS0oTIYRs5l66joCSeI?authuser=0&hl=en&rclk=1,
Touchstone Imaging South Irving,2005 W Park Dr Ste 110,"2005 W Park Dr Suite 110, Irving, TX, 75061",(469) 299-8549,https://www.touchstoneimaging.com/locations/south-irving/,https://www.google.com/maps/place/Touchstone+Imaging+South+Irving/data=!4m7!3m6!1s0x864e836f77b4e861:0x8496a8506dfa265b!8m2!3d32.835305!4d-96.9632661!16s%2Fg%2F11g_qq5p6n!19sChIJYei0d2-DToYRWyb6bVColoQ?authuser=0&hl=en&rclk=1,
Touchstone Imaging Las Colinas,"440 W Lyndon B Johnson Fwy, Plaza 2 Ste 110","440 W Lyndon B Johnson Fwy Plaza 2 Suite 110, Irving, TX, 75063",(214) 647-6161,https://www.touchstoneimaging.com/locations/irving-las-colinas/,https://www.google.com/maps/place/Touchstone+Imaging+Las+Colinas/data=!4m7!3m6!1s0x864c2846370190ab:0xf15da33d470b040f!8m2!3d32.9116744!4d-96.9521996!16s%2Fg%2F11hbgsb6qv!19sChIJq5ABN0YoTIYRDwQLRz2jXfE?authuser=0&hl=en&rclk=1,
ViaScan - Full Body Scan,349 E Las Colinas Blvd Suite C,"349 E Las Colinas Blvd Suite C, Irving, TX, 75039",(972) 739-2840,http://www.123bodyscan.com/,https://www.google.com/maps/place/ViaScan+-+Full+Body+Scan/data=!4m7!3m6!1s0x864e82b8b23bcb35:0x3e25166a0702ed80!8m2!3d32.8658542!4d-96.9371047!16s%2Fg%2F1th246fc!19sChIJNcs7sriCToYRgO0CB2oWJT4?authuser=0&hl=en&rclk=1,
Preferred Imaging,660 Lyndon B Johnson Fwy,"660 Lyndon B Johnson Fwy, Irving, TX, 75063",(972) 833-6120,https://akumin.com/locations/texas-dallas-fort-worth/irving/,https://www.google.com/maps/place/Preferred+Imaging/data=!4m7!3m6!1s0x864c29078b6382ff:0x257a4fd1c2150c93!8m2!3d32.91344!4d-96.9558669!16s%2Fg%2F11n2gkg9r8!19sChIJ_4JjiwcpTIYRkwwVwtFPeiU?authuser=0&hl=en&rclk=1,
Visionary Wellness & Imaging,3575 Story Rd W Suite 130,"3575 Story Rd W Suite 130, Irving, TX, 75038",(214) 458-0999,http://visionarywellnessimaging.com/?utm_source=google&utm_medium=organic&utm_campaign=googlemybusiness,https://www.google.com/maps/place/Visionary+Wellness+%26+Imaging/data=!4m7!3m6!1s0x864e835b095a11af:0x2a1a4203e209958b!8m2!3d32.8717865!4d-96.9946062!16s%2Fg%2F11jsz94bxb!19sChIJrxFaCVuDToYRi5UJ4gNCGio?authuser=0&hl=en&rclk=1,
Baylor Scott & White Women's Imaging Center - Irving (MacArthur & Hwy 183),2001 N MacArthur Blvd Ste 250,"2001 N MacArthur Blvd Suite 250, Irving, TX, 75061",(972) 990-4270,https://www.bswhealth.com/locations/irving-hospital/mammogram-and-breast-imaging?utm_source=google-mybusiness&utm_medium=organic&utm_campaign=29985-9717845&utm_content=main-website,https://www.google.com/maps/place/Baylor+Scott+%26+White+Women%27s+Imaging+Center+-+Irving+%28MacArthur+%26+Hwy+183%29/data=!4m7!3m6!1s0x864e83012fb35f51:0xba5e68ccb6d53078!8m2!3d32.8351328!4d-96.9606494!16s%2Fg%2F1vyn485w!19sChIJUV-zLwGDToYReDDVtsxoXro?authuser=0&hl=en&rclk=1,
Akumin,660 W Lyndon B Johnson Fwy,"660 W Lyndon B Johnson Fwy, Irving, TX, 75063",(972) 833-6120,https://akumin.com/?utm_source=Google&utm_medium=Yext&y_source=1_MTgzMzIzODMtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,https://www.google.com/maps/place/Akumin/data=!4m7!3m6!1s0x864c28492a6e4c83:0x582372691ca5b5e2!8m2!3d32.9134386!4d-96.9558476!16s%2Fg%2F11dyq_xvtd!19sChIJg0xuKkkoTIYR4rWlHGlyI1g?authuser=0&hl=en&rclk=1,
Prenuvo Dallas- Cancer & Disease Screening,6121 State Hwy 161 Suite 205,"6121 State Hwy 161 Suite 205, Irving, TX, 75038",(833) 773-6886,https://www.prenuvo.com/,https://www.google.com/maps/place/Prenuvo+Dallas-+Cancer+%26+Disease+Screening/data=!4m7!3m6!1s0x864c29a5d8211ef9:0xb1938ac7c5659d00!8m2!3d32.8911678!4d-96.9816458!16s%2Fg%2F11rr7s92_t!19sChIJ-R4h2KUpTIYRAJ1lxceKk7E?authuser=0&hl=en&rclk=1,
VCA Metroplex Animal Hospital & Pet Lodge,700 W Airport Fwy,"700 W Airport Fwy, Irving, TX, 75062",(972) 438-7113,https://vcahospitals.com/metroplex?utm_source=maps&utm_medium=organic&utm_campaign=VCA_Metroplex_Animal_Hospital_&_Pet_Lodge,https://www.google.com/maps/place/VCA+Metroplex+Animal+Hospital+%26+Pet+Lodge/data=!4m7!3m6!1s0x864e83034fd3420d:0x82c7d0d2a7f21c3c!8m2!3d32.836228!4d-96.953625!16s%2Fg%2F1thzp9gt!19sChIJDULTTwODToYRPBzyp9LQx4I?authuser=0&hl=en&rclk=1,
"Solis Mammography, a department of Medical City Las Colinas",6750 N MacArthur Blvd Ste 153,"6750 N MacArthur Blvd Suite 153, Irving, TX, 75039",(469) 677-3174,https://www.solismammo.com/dfw/medical-city-las-colinas,"https://www.google.com/maps/place/Solis+Mammography,+a+department+of+Medical+City+Las+Colinas/data=!4m7!3m6!1s0x864c28316a173c27:0xc3a44c60fc977736!8m2!3d32.9019061!4d-96.956842!16s%2Fg%2F11b6qhf4dj!19sChIJJzwXajEoTIYRNneX_GBMpMM?authuser=0&hl=en&rclk=1",
Baylor Scott & White Medical Center - Irving,1901 N MacArthur Blvd,"1901 N MacArthur Blvd, Irving, TX, 75061",(972) 990-8100,https://www.bswhealth.com/locations/irving-hospital,https://www.google.com/maps/place/Baylor+Scott+%26+White+Medical+Center+-+Irving/data=!4m7!3m6!1s0x864e8301297838c7:0x8c6d0e41c3617fc7!8m2!3d32.834711!4d-96.960209!16s%2Fg%2F1tf9tb9w!19sChIJxzh4KQGDToYRx39hw0EObYw?authuser=0&hl=en&rclk=1,
Medical City Las Colinas,6800 N MacArthur Blvd,"6800 N MacArthur Blvd, Irving, TX, 75039",(972) 969-2000,https://www.medicalcityhealthcare.com/locations/medical-city-las-colinas-hospital?utm__campaign=corp_listings_mgmt&utm_source=google&utm_medium=business_listing,https://www.google.com/maps/place/Medical+City+Las+Colinas/data=!4m7!3m6!1s0x864c2836cad636a9:0xb76cc9f886ad54ef!8m2!3d32.9022165!4d-96.9572148!16s%2Fm%2F04g3c9t!19sChIJqTbWyjYoTIYR71SthvjJbLc?authuser=0&hl=en&rclk=1,
Baylor Scott & White Women's Imaging Center - Las Colinas (MacArthur & I-635),"Plaza II, 440 W Lyndon B Johnson Fwy Ste 120A","440 W Lyndon B Johnson Fwy Suite 120A, Irving, TX, 75063",(972) 990-5650,https://www.bswhealth.com/locations/irving-hospital/mammogram-and-breast-imaging?utm_source=google-mybusiness&utm_medium=organic&utm_campaign=29985-9717800&utm_content=main-website,https://www.google.com/maps/place/Baylor+Scott+%26+White+Women%27s+Imaging+Center+-+Las+Colinas+%28MacArthur+%26+I-635%29/data=!4m7!3m6!1s0x864c284665d95c91:0x66228dfb3ff9f975!8m2!3d32.9116289!4d-96.9520264!16s%2Fg%2F1vljgq_0!19sChIJkVzZZUYoTIYRdfn5P_uNImY?authuser=0&hl=en&rclk=1,
4Baby Newborn Photography & 3D/4D Ultrasound,4835 N O'Connor Rd Suite 132,"4835 N O'Connor Rd Suite 132, Irving, TX, 75039",(214) 987-3604,https://4babyultrasound.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb,https://www.google.com/maps/place/4Baby+Newborn+Photography+%26+3D%2F4D+Ultrasound/data=!4m7!3m6!1s0x864e8357988df4ad:0x46c199dd782baf2b!8m2!3d32.8658646!4d-96.9492261!16s%2Fg%2F11h6dkgmgw!19sChIJrfSNmFeDToYRK68reN2ZwUY?authuser=0&hl=en&rclk=1,
Animal Imaging,500 Paddock Way,"500 Paddock Way, Irving, TX, 75039",(972) 869-2180,https://animalimaging.net/,https://www.google.com/maps/place/Animal+Imaging/data=!4m7!3m6!1s0x864c281c05da3bb1:0x981ee8c532ed590b!8m2!3d32.8921826!4d-96.935787!16s%2Fg%2F1tmqm5m7!19sChIJsTvaBRwoTIYRC1ntMsXoHpg?authuser=0&hl=en&rclk=1,
Tuscan Imaging Center,701 Tuscan Dr,"701 Tuscan Dr, Irving, TX, 75039",,,https://www.google.com/maps/place/Tuscan+Imaging+Center/data=!4m7!3m6!1s0x864c283197c4c4e1:0xc439f3b00b8871ee!8m2!3d32.898747!4d-96.957195!16s%2Fg%2F11b7g3sl0n!19sChIJ4cTElzEoTIYR7nGIC7DzOcQ?authuser=0&hl=en&rclk=1,
