Company name,Website,Location,Email (General),Phone number,Note,Worker
,https://wardproduce.com/,"900 Withers Rd, Raleigh, NC 27603, United States",sales@wardproduce.com,1 919-828-4161,,Saim
R & H Produce Inc,http://www.rhproduce.com/,"1117 Agriculture St # 2, Raleigh, NC 27603, United States",brittany@rhproduce.com,1 919-828-1744,,Saim
,,,,,,
Carolina Foods,https://carolinafoodsinc.com/,"4300 South Blvd, Charlotte, NC 28209, United States",info@carolinafoodsinc.com,704.333.9812,,Saim
Food Sales East,https://fse.us.com/,"9731 Southern Pine Blvd Suite A, Charlotte, NC 28273, United States",contactus@fse.us.com,1 704-837-0875,,Saim
Mission Foods,https://www.missionfoods.com/,"7010 Reames Rd, Charlotte, NC 28216, United States",marketing@missionfoods.com.my,1-800-600-8226,,Saim
,,,,,,
Mountain Food Products,https://mountainfoodproducts.com/,"570 Brevard Rd, Asheville, NC 28806, United States",orders@mountainfoodproducts.com,(828) 255-7630,,Saim
Meat Commodities,https://meatcomm.com/,"1200 Centrepark Dr, Asheville, NC 28805, United States",info@meat-comm.com,1 800-523-5382,,Saim
Carolina Bison & Dr. King's Meat Sales: Wholesale and Retail,https://carolinabison.com/shop/,"3 Westside Dr, Asheville, NC 28806, United States",info@carolinabison.com,1 828-236-1659,,Saim
18 Chestnuts,http://www.18chestnuts.com/,"825c Merrimon Ave PMB #312, Asheville, NC 28804, United States",support@18chestnuts.com,1 727-919-5242,,Saim
Uplifting Wholesale,https://upliftingdeals.com/wholesale-groceries/,"31 Adams Hill Rd Suite 210, Asheville, NC 28806, United States",facebook@upliftingdeals.com,1 828-423-0201,,Saim
Spicewalla Production Facility,http://www.spicewallabrand.com/,"829 Riverside Dr Suite 110, Asheville, NC 28801, United States",orders@spicewallabrand.com,,,Saim
,,,,,,
Blue Mountain Distributors,http://bluemountaindistributors.com/ ,"551 L a White Dr, Fletcher, NC 28732, United States",customerservice@bluemountainorganics.com,1 828-687-7791,,Saim
American Quality Foods,https://www.americanqualityfoods.com/,"353 Banner Farm Rd, Mills River, NC 28759, United States",sales@americanqualityfoods.com,1 800-348-7416,,Saim
The Gourmet Chip Company,https://www.gourmetchipcompany.com/,"43 1/2 Broadway St, Asheville, NC 28801, United States",info@gourmetchipcompany.com,1 828-254-3335,,Saim
French Broad Food Co-Op,http://www.frenchbroadfood.coop/,"90 Biltmore Ave, Asheville, NC 28801, United States",info@frenchbroadfood.coop,1 828-255-7650,,Saim
Mother Earth Food,http://www.motherearthfood.com/,"29 Hawk Hill Rd, Asheville, NC 28806, United States",terra@motherearthfood.com,1 828-275-3500,,Saim
Annie's Bakery Inc.,http://www.anniesbread.com/,"128 Bingham Rd, Asheville, NC 28806, United States",contact@anniesbread.com,1 828-505-8350,,Saim
,,,,,,
The Honey Baked Ham Company,https://honeybaked.com/stores/1910?utm_source=gmb&utm_medium=google&utm_campaign=honeybakedham_soci&utm_id=SOCi,"5 Miller Rd S Suite 5, Asheville, NC 28803, United States",customercare@honeybaked.com,1 828-259-9426,,Saim
Sam's Club,https://www.samsclub.com/club/asheville-nc-sams-club/6452,"645 Patton Ave, Asheville, NC 28806, United States",sam@samsclub.com,1 828-251-9791,,Saim
The Chop Shop Butchery,http://www.chopshopbutchery.com/,"100 Charlotte St, Asheville, NC 28801, United States",info@chopshopbutchery.com,1 828-505-3777,,Saim
Earth Fare,https://www.earthfare.com/,"66 Westgate Pkwy, Asheville, NC 28806, United States",info@earthfare.com,1 828-255-2999,,Saim
Red Fiddle Vittles,https://www.redfiddlevittles.com/,"1800 Hendersonville Rd, Asheville, NC 28803, United States",info@redfiddlevittles.com,1 828-412-0506,,Saim
,,,,,,
"OBERR International, LLC",https://www.oberrinternational.com/,"2530 Meridian Pkwy Suite 300, Durham, NC 27713, United States",info@oberrinternational.com,1 919-597-1704,,Saim
Seal the Seasons,http://www.sealtheseasons.com/,"4426 S Miami Blvd, Durham, NC 27703, United States",hello@sealtheseasons.com,1 919-245-3535,,Saim
G&G Gourmet,http://www.cheenies.com/,"105 Hood St # 7, Durham, NC 27701, United States",eben@eyebytes.com,1 919-530-8333,,Saim
Firsthand Foods,https://firsthandfoods.com/,"2210 E Pettigrew St, Durham, NC 27703, United States",info@firsthandfoods.com,1 919-249-6144,,Saim
Maola Milk - Durham Branch,http://maolamilk.com/,"1535 E Club Blvd, Durham, NC 27704, United States",emailus@maolamilk.com,1 919-220-8909,,Saim
Global Suq Halal Mediterranean Market,https://www.globalsuq.com/,"105 W Cornwallis Rd, Durham, NC 27707, United States",admin@globalsuq.com,1 919-666-7811,,Saim
,,,,,,
Moonbelly Meat Company,http://www.moonbellymeatco.com/,"2827 N Roxboro St, Durham, NC 27704, United States",moonbellymeatco@gmail.com,,,Saim
Moroleon Supermarket,https://moroleonsupermarket.com/,"1109 N Miami Blvd, Durham, NC 27703, United States",Moroleon1109@gmail.com,1 919-680-6561,,Saim
Flowers Baking Co,https://flowersfoods.com/,"1511 E Club Blvd, Durham, NC 27704, United States",eric.jacobson@flocorp.com,1 919-220-6663,,Saim
Part & Parcel Package Free & Bulk Grocery,https://www.pnpdurham.com/,"1901 Chapel Hill Rd, Durham, NC 27707, United States",pnp@candornc.org,,,Saim
Harlem Beer Distributing NC,https://hbdistributing.com/,"128 Howard St, Durham, NC 27704, United States",astigma@astigmatic.com,1 919-808-5604,,Saim
,,,,,,
RiceWrap Foods Corporation,https://www.ricewrapsushi.com/,"300 Business Park Dr, Butner, NC 27509, United States",info@ricewrapfoods.com,1 919-614-1179,,Saim
Durham Co-op Market,http://www.durham.coop/,"1111 W Chapel Hill St, Durham, NC 27701, United States",info@durham.coop,1 919-973-1707,,Saim
,,,,,,
Strickland's Portion Pak,https://www.stricklandsfoodservice.com/,"2014 Sapona Rd, Fayetteville, NC 28312, United States",leta@stricklandsportionpak.com,1 910-483-6788,,Saim
Vanguard Culinary Group Ltd,https://www.vanguardculinary.com/,"716 Whitfield St #1618, Fayetteville, NC 28306, United States",info@vanguardculinary.com,1 910-484-8999,,Saim
,,,,,,
,,,,,,
Food Deals Supply,http://www.fooddealssupply.com/,"1418 S Stratford Rd, Winston-Salem, NC 27103, United States",fooddealssupply@gmail.com,1 336-779-5770,,Saim
US Food CHEF'STORE,https://www.chefstore.com/locations/store/winston-salem-8111/?utm_source=gbp&utm_medium=organic&utm_campaign=local,"140 Stratford Common Ct, Winston-Salem, NC 27103, United States",jeanine.westergaard@chefstore.com,1 336-293-0855,,Saim
TW Garner Food Company,http://garnerfoods.com/,"614 W 4th St, Winston-Salem, NC 27101, United States",garnerfoods@garnerfoods.com,1 336-661-1550,,Saim
Trimark Foodcraft,https://www.trimarkusa.com/find-your-trimark-division?mode=division&division=4,"2601 Hope Church Rd, Winston-Salem, NC 27103, United States",info@trimarkusa.com,1 336-768-7520,,Saim
Eastern Food Equipment Inc,http://www.easternfoodequipment.com/,"1930 Healy Dr, Winston-Salem, NC 27103, United States",matthewgreene@easternfoodequipment.com,1 336-760-2686,,Saim
Alexander Food Equipment Group,https://alexanderfeg.com/,"3820 Kimwell Dr, Winston-Salem, NC 27103, United States",sales@alexanderfeg.com,1 800-642-0519,,Saim
Purple Crow,https://www.purplecrow.com/,"2900 Lowery St, Winston-Salem, NC 27101, United States",customerservice@purplecrow.com,1 336-773-0010,,Saim
Kellogg,http://www.kelloggs.com/,"1 Quality Ln, Cary, NC 27513, United States",kelloggs@kelloggs.com,1 919-677-3200,,Saim
Ghedir Enterprises LLC,https://ghedirshop.company.site/,"1015 Askham Dr, Cary, NC 27511, United States",ghedirenterprisesllc@gmail.com, 1 919-410-2410,,Saim
Restaurant Depot,https://www.restaurantdepot.com/ ,"3901 Gateway Centre Blvd, Morrisville, NC 27560, United States",communications@jetrord.com,1 919-466-0660,,Saim
FreshPoint Raleigh,https://www.freshpoint.com/,"203 Trans Air Dr, Morrisville, NC 27560, United States",fpnews@freshpoint.com,1 919-468-9441,,Saim
Stick Boy Bread Company,https://www.stickboybread.com/,"345 Hardin St, Boone, NC 28607, United States",info@stickboybread.com,1 828-268-9900,,Saim
Food Lion,https://stores.foodlion.com/,"1864 Old US 421 S D, Boone, NC 28607, United States",customer.service@foodlion.com,1 828-264-9373,,Saim
High Country Food Hub,https://www.highcountryfoodhub.org/,"252 Poplar Grove Rd, Boone, NC 28607, United States",foodhub@brwia.org,1 828-412-0834,,Saim
Tractor Supply Co.,https://www.tractorsupply.com/,"2221 Old US 421 S, Boone, NC 28607, United States",customersolutions@tractorsupply.com,1 828-264-9999,,Saim
Publix Super Market at Three Creeks,https://www.publix.com/,"1620 Blowing Rock Rd, Boone, NC 28607, United States",payroll.requests@publix.com,1 828-263-8126,,Saim
Be Natural Market,https://www.benaturalmarket.com/,"273 Boone Heights Dr, Boone, NC 28607, United States",contactus@benaturalmarket.com,1 828-262-5592,,Saim
Circle K,https://www.circlek.com/store-locator/,"2968 NC-105, Boone, NC 28607, United States",info@circlek.com,1 828-262-5899,,Saim
Watauga County Farmers' Market,https://www.wataugacountyfarmersmarket.org/,"591 Horn in the W Dr, Boone, NC 28607, United States",wataugacountyfarmersmarket@gmail.com,1 828-355-4918,,Saim
,,,,,,
Lured Bar & Grill,http://www.luredmarketandgrill.com/,"2655 Memorial Hwy, Lake Lure, NC 28746, United States",luredmarketandgrill@gmail.com,"Lake Lure, NC, United States",,Saim
Asheville Packing Co,,,,1 828-697-2700,,
Mona Lisa Foods,https://www.barry-callebaut.com/,,admin@barry-callebaut.com,1 828-685-2443,,Saim
Sysco Hendersonville Yard,,,,,,
Omelet Nation,https://omeletnation.com/,,,1 828-521-9021,,
Blue Mountain Distributors,http://bluemountaindistributors.com/,,,1 828-687-7791,,
Old Mule Co,https://www.oldmule.com/,"4694 South Wilson Hill Rd Mill Spring, NC 28756.","orders@oldmule.com",(828) 625-0305,,Saim
Round Mountain Sauces LLC,https://www.roundmountainsauces.com/,"2274 Old Fort Rd, Black Mountain, NC 28711, United States",info@roundmountainsauces.com,1 828-575-7298,,Saim
Pinecrest Foods,https://pinecrestfoods.com/contact/,"980 Upward Rd, Flat Rock, NC 28731, United States",chris@pinecrestfoods.com,1 844-844-6455,,Saim
Up All Night Bottling Co.,http://www.upallnightbottlingco.com/,"Chimney Rock, NC",nick@upallnightbottlingco.com,,,Saim
All Juice Food & Beverage,,,,1 828-685-8821,,
Fae Nectar,http://www.faenectar.com/,"2984 Memorial Hwy, Lake Lure, NC 28746, United States",greetings@faenectar.com,,,Saim
Blue Ridge Jams,https://blueridgejam.com/,,,1 828-685-1783,,
Burntshirt Vineyards Tasting Room and Bistro,https://burntshirtvineyards.com/,,,1 828-436-2490,,
Old Rock Cafe,https://oldrockcafe.com/,,,1 828-625-2329,,
Riverwatch Bar & Grill,http://www.riverwatchgrill.com/,,,1 828-625-1030,,
,,,,,,
Dairy Fresh,http://www.deanfoods.com/,"1350 W Fairfield Rd, High Point, NC 27263, United States",social@dfamilk.com,1 336-431-7193,,Saim
Drake's Fresh Pasta Co,http://drakesfreshpasta.com/,"636 Southwest St, High Point, NC 27260, United States",info@drakesfreshpasta.com,1 336-861-5454,,Saim
Zee Trading Inc,http://zeetradinginc.com/,"1129 Roberts Ln, High Point, NC 27260, United States",zeetradinginc@gmail.com,1 336-804-5138,,Saim
El Maya Inc.,https://8baabd-3.myshopify.com/,"617 Southwest St, High Point, NC 27260, United States",contactsupport@myshopify.com,1 336-252-8682,,Saim
Walmart Neighborhood Market,https://www.walmart.com/store/5013-high-point-nc/,"4102 Precision Way, High Point, NC 27265, United States",help@walmart.com,1 336-804-6018,,Saim
,https://gfs.com/,"4500 Corporate Dr NW, Concord, NC 28027, United States",info@gfs.com,1 704-786-4500,,Saim
Nestle USA,,,,,,
National Food Equipment Services,https://www.nestleusa.com/,"219 Williamson Rd, Mooresville, NC 28117, United States",coster@nestleusa.com,1 704-663-7229,,Saim
Certified81,https://nationalfes.com/,,,1 828-322-5400,,
Deli Brands of America,https://certified81.com/,"125 Trade Ct Suite F PMB 1029, Mooresville, NC 28117, United States",support@certified81.com,1 803-342-4689,,Saim
Lowes Foods of Mooresville,https://delibrandsofamerica.com/contact-north-carolina/,"Deli Brands of America 4600 Pulaski Highway Baltimore, MD 21224",info@delibrandsofamerica.com,866-276-3354,,Saim
,http://www.lowesfoods.com/,"125 Center Square Dr, Mooresville, NC 28117, United States",webmaster@lowesfoods.com,1 704-660-9594,,Saim
The Pastry Lady / Butter Braid Pastries,http://www.thepastrylady.com/,"531 Brentwood Rd. Denver, NC 28037",sales@thepastrylady.com,1 877-482-7243,,Saim
Roy's Rub,https://roysrub.com/,"Mooresville, NC",orders@roysrub.com,,,Saim
Carolina Beverage Group LLC,https://carolinabeveragegroup.com/,"110 Barley Park Ln, Mooresville, NC 28115, United States",contractpackaginginquiries@carolinabeveragegroup.com,1 704-799-2337,,Saim
"Niagara Bottling, LLC",http://www.niagarawater.com/,"178 Mooresville Blvd, Mooresville, NC 28115, United States",niagarapr@niagarawater.com,1 909-230-5000,,Saim
Central Garden & Pet,http://www.central.com/,,,1 704-799-1401,,
BJ's Wholesale Club,https://www.bjs.com/cl/mooresville/0118?trc=locl%7Cggmb%7Cweb%7Cxlob%7Cxlob%7Clocdist%7C0118%7Cstore%7C20240816,,,1 704-799-6532,,
Williams Foods Inc.,https://williamsfoodsinc.com/,"615 N Church St, Rocky Mount, NC 27804, United States",general@williamsfoodsinc.com,1 252-977-3939,,Saim
Adams Wholesale Co,https://www.fredsfoodclub.com/,"101 Nashville Rd, Rocky Mount, NC 27803, United States",rec@adamswholesalecompany.com,1 252-977-2185,,Saim
,,,,,,
Prime Beverage Group,http://www.primebev.com/,"1858 Kannapolis Pkwy, Concord, NC 28027, United States",info@primebev.com,1 704-385-5450,,Saim
Food Lion,https://stores.foodlion.com/nc/kannapolis/2825-n-cannon-blvd?y_source=1_NTA0NjEwMC03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,,,1 704-932-5608,,
Twice the Ice Vending,http://twicetheice.com/,,,,,
,,,,,,
Los Equipales/Carniceria Don Leo,https://www.facebook.com/CarniceriaDonLeo/,,,1 704-691-7918,,
Choice USA Beverage Inc,,,,1 704-861-1029,,
Mic's Mini Market,,,,1 980-251-1880,,
Gaston Commissary Kitchens 1 and 2,https://www.facebook.com/gastoncommissarykitchen/,,,1 704-214-2268,,
BSI Medical Supply,http://www.bsimedicalsupply.com/,,,1 704-869-9091,,
Lidl,https://www.lidl.com/stores/US01040,,,1 888-654-3515,,
Organic Marketplace,,,,1 704-864-0605,,
EL TRIUNFO MARKET LLC,https://www.facebook.com/profile.php?id=61564939108693&mibextid=ZbWKwLhttps://www.facebook.com/profile.php?id=61564939108693&mibextid=ZbWKwL,,,1 980-888-0049,,
A & P Food Store,,,,1 704-868-2991,,
Friendly's Food Mart,,,,,,
"Hans Kissle Company, LLC",http://www.hanskissle.com/,"5118 Apple Crk Pkwy, Dallas, NC 28034, United States",customercomplaints@hanskissle.com,1 980-500-1630,,Saim
Vendweb.Com Vending Machines - Sales and Service new and refurbished vending machines.,http://www.vendweb.com/,,,1 866-836-3932,,
Wow Supermarket,,,,1 704-671-4367,,
Jacob's Food Mart,,,,1 704-349-6000,,
La Bodega Food Mart,,,,1 704-671-2601,,
"Bay Valley Food, LLC",http://bayvalleyfoods.com/,,,1 704-476-7141,,
Jacob's Food Mart,,,,1 704-671-4700,,
Linwood Food Mart,,,,,,
Bread Inc,http://www.breadfoodbank.com/,"3803 Old York Rd, Gastonia, NC 28056, United States",breadinc2011@gmail.com,1 704-854-9221,,Saim
DICK'S Sporting Goods,https://stores.dickssportinggoods.com/nc/gastonia/691/?seo=localpack,,,1 704-810-0994,,
Subtle Impressions Inc,https://subtleimpressions.com/,,,1 800-478-2853,,
Omni Mart (VALERO),,,,1 704-866-7050,,
Conitex Sonoco,http://www.conitex.com/,,,1 704-864-5406,,
Express Mart Franchising Corporation,,,,1 704-864-0114,,
Dole Fresh Vegetables,http://www.dole.com/,"220 Southridge Pkwy, Bessemer City, NC 28016, United States",dole.consumer.center@dole.com,1 704-810-7000,,Saim
Home Grown Cow,,,,,,
Las Americas,,,,1 704-861-6391,,
La Media Luna Mini Market WIC & EBT,,,,,,
Vieng Keo Asian Market,,,,1 704-671-2060,,
Circle K,https://www.circlek.com/store-locator/US/gastonia/2106-n-chester-st/2723974?utm_source=google&utm_medium=local&utm_campaign=google-local,,,1 704-862-0557,,
,,,,,,
ALDI,https://stores.aldi.us/nc/gastonia/2108-union-road?utm_source=google&utm_medium=local&utm_campaign=brand&utm_content=storepage_webclick,,,1 855-955-2534,,
Walmart Bakery,https://www.walmart.com/store/7062-gastonia-nc/bakery/,,,,,
Circle K,https://www.tractorsupply.com/tsc/store_Bessemercity-NC-28016_1804?utm_source=localgmblisting&utm_medium=organic,,,1 704-824-3779,,
Tractor Supply Co.,,,,1 704-865-5589,,
SHAKE &DRINK LLC,https://www.circlek.com/store-locator/US/gastonia/2483-franklin-blvd/2723934?utm_source=google&utm_medium=local&utm_campaign=google-local,,,1 347-632-6026,,
Circle K,https://www.siteone.com/store/732,,,1 704-865-3521,,
SiteOne Landscape Supply,,,,1 704-823-0044,,
Publix Super Market at Hoffman Village,https://www.publix.com/?setstorenumber=1521&utm_medium=maps&utm_source=extendednetwork&utm_content=psm_website_url,,,1 704-853-7000,,
"Automated Services International, Inc",http://www.asintl.us/,,,1 704-879-4714,,
"C&B Distributors, Inc.",https://www.candbdistributors.com/,,,1 704-824-8515,,
"GNT USA, LLC",http://www.exberry.com/,"One Exberry Dr, Dallas, NC 28034, United States",info@exberry.com,1 704-469-5555,,Saim
Circle K,https://www.circlek.com/store-locator/US/gastonia/516-cox-rd/2723972?utm_source=google&utm_medium=local&utm_campaign=google-local,,,1 704-862-0563,,
Soo's Market,,,,1 980-888-7196,,
Gastonia Street Ministry - Food Distribution Center,https://www.gastoniastreetministry.com/,,,1 704-964-7898,,
Crawford cake ministries: Mobile cake shop,,,,,,
Valley Proteins Inc Gastonia,http://www.valleyproteins.com/,"5533 York Hwy, Gastonia, NC 28052, United States",info@darlingii.com,1 704-864-9941,,Saim
"ALTA Foods LLC",https://www.altafoods.com/,"105 Industry Ct, Goldsboro, NC 27530, United States",customerservice@altafoods.com,1 919-734-0233,,Saim
"Mondelez International/Nabisco Foods",https://www.mondelezinternational.com/,"105 Industry Ct, Goldsboro, NC 27530, United States",jane.doe@mondelezinternational.com,1 847-943-4000,,Saim
"Cheney Brothers, Inc. (STV)",https://www.cheneybrothers.com/,"195 Business Park Dr, Statesville, NC 28677, United States",help.cheneyexpress@cheneybrothers.com,1 800-899-3921,,Saim
Bridgford Foods of North Carolina,https://www.bridgford.com/,"112 Progress Ln, Statesville, NC 28677, United States",info@bridgford.com,1 704-878-2772,,Saim
Sysco Raleigh,https://www.sysco.com,"Selma, NC",nigeriakitchen14@gmail.com,1 919-755-2455,,Saim
,,,,,,
Jamac Frozen Foods,http://www.jamacfoods.com/ ,"570 Grand St, Jersey City, NJ 07302, United States",orders@jamac.net,1 201-333-6200,,Saim
Sysco Metro New York - Food Distributor & Restaurant Supplies,https://sysco.com/,,,1 201-433-2000,,
Woolco Foods Inc,http://www.woolcofoods.net/ ,"135 Amity St, Jersey City, NJ 07304, United States",info@woolcofoods.com,1 201-716-2700,,Saim
Anderson International Foods,http://www.aifoods.com/ ,"2 Burma Rd, Jersey City, NJ 07305, United States",info@aifoods.com,1 516-747-2210,,Saim
"Well Luck Co., Inc 和樂食品公司",http://www.welluck.com/ ,"104 Harbor Dr, Jersey City, NJ 07305, United States",info@welluck.com.cn,1 201-434-1177,,Saim
Sabaot Foods,https://sabaotfoods.com/,,,1 201-397-2660,,
"National Wholesale Grocers, LLC",https://www.nationalwsg.com/,,,1 801-997-0739,,
"Cosmopolitan Food Group, Inc.",,,,,,
Phil-Am Trading,http://www.phil-am.com/,,,1 201-420-8595,,
Nardone Food Services Equipment,,,,1 201-433-0500,,
BATA FOOD LLC,https://www.batafood.com/,"221 River St 9th floor, Hoboken, NJ 07030, United States",info@batafood.com,1 201-509-4969,,Saim
All in one vending,https://www.allinonevendingllc.com/,,,,,
Quartet USA Inc,http://www.quartetusa.com/,"101 Hudson St Suite 2137, Jersey City, NJ 07302, United States",info@quartetusa.com,,,Saim
Parayil Foods USA LLC,http://www.parayilgroup.com/,"438 St Pauls Ave, Jersey City, NJ 07306, United States",info@dailydelight.com,1 201-369-1199,,Saim
,,,,,,
Casa Imports,http://www.casaimports.com/,,,1 315-724-4189,,
"Deiorio Foods, Inc (Shipping & Receiving)",http://www.deiorios.com/,"2200 Bleecker St, Utica, NY 13501, United States",info@deiorios.com,1 800-649-7612,,Saim
Mandia International Trading,http://www.mandiacorp.com/,"75 Wurz Ave, Utica, NY 13502, United States",dlofgren@mandiacorp.com,1 315-765-0119,,Saim
Kwik-Kut Manufacturing Co,https://www.kwik-kut.com/,,,1 315-866-2741,,
Pairwell Food Co.,,,,1 315-765-0358,,
Alternatives Food Products,,,,1 315-363-9281,,
"New York Dough Co., Inc.",http://newyorkdough.com/,,,1 315-733-6844,,
,,,,,,
,,,,,,
Agway of Holland Patent,http://www.agwayhp.net/,"7794 Park Ave, Holland Patent, NY 13354, United States",agwayofhp@yahoo.com,1 315-865-8105,,Saim
"CP Foods Wholesale Foodservice Distributor (formerly Cortland Produce, Inc.)",https://www.cpfoodsny.com/,"150 Johnson Rd, Freeville, NY 13068, United States",matt@cortlandproduce.com,1 607-708-8029,,Saim
Adventure In Food Trading Co,http://adventureinfood.com/,"381 Broadway # 7A, Menands, NY 12204, United States",orders@adventureinfood.com,1 518-436-7603,,Saim
Ginsberg's Foods,http://www.ginsbergs.com/,"29 Ginsbergs Rd, Hudson, NY 12534, United States",info@ginsbergsfoods.com,1 518-828-4004,,Saim
Joseph Flihan Co,http://www.josephflihanco.com/,,,1 315-735-8519,,
Utica Best market,,,,1 315-733-4777,,
Circle K,https://www.circlek.com/store-locator/US/barneveld/8035-sr-12/2654015?utm_source=google&utm_medium=local&utm_campaign=google-local,,,1 315-896-2139,,
Stewart's Shops,https://locations.stewartsshops.com/ll/US/NY/Holland-Patent/9566-Main-St,,,1 315-982-5419,,
Sunoco Gas Station,https://www.sunoco.com/locations/store/9566-main-st-holland-patent-ny-0115179400?utm_source=gmb&utm_medium=organic&utm_content=3233,,,1 315-865-9907,,
Hudson Harvest,https://www.hv-harvest.com/,"1931 US-9, Germantown, NY 12526, United States",sales@hv-harvest.com,1 800-811-3795,,Saim
RAW ADK,http://www.rawadk.com/,,,,,
Stewart's Shops,https://locations.stewartsshops.com/ll/US/NY/Barneveld/8170-New-York-12,,,1 315-896-2082,,
Walmart Distribution Center,http://www.walmart.com/,,,1 315-768-0150,,
Holland Patent Farmer's Co-Op,https://hollandpatentcoopny.com/,,,1 315-865-5281,,
Reddington Ready Mix Co.,,,,1 315-826-5295,,
Donnoli Foods,,,,1 609-656-9160,,
,,,,,,
Jamac Frozen Foods,http://www.jamacfoods.com/,,,1 201-333-6200,Duplicate,
Woolco Foods Inc,http://www.woolcofoods.net/,,,1 201-716-2700,Duplicate,
Sysco Metro New York - Food Distributor & Restaurant Supplies,https://sysco.com/Contact/Contact/Our-Locations/Metro-New-York?utm_medium=googlemybusiness&utm_source=google.com&utm_campaign=gmb_opcopages&utm_content=MetroNewYork,,,1 201-433-2000,Duplicate,
Tristar Food Wholesale Co Inc,,,,1 201-938-2590,,
Anderson International Foods,http://www.aifoods.com/,,,1 516-747-2210,Duplicate,
"National Wholesale Grocers, LLC",https://www.nationalwsg.com/,,,1 801-997-0739,Duplicate,
Fine Food Marketing LLC,http://chelsea-imports.com/,,,1 201-217-0311,Category not found,
Marte Corporation,,,,1 201-434-7844,,
"Well Luck Co., Inc 和樂食品公司",http://www.welluck.com/,,,1 201-434-1177,Duplicate,
Phil-Am Trading,http://www.phil-am.com/,,,1 201-420-8595,Duplicate,
Daily Delight,http://www.dailydelight.com/,"438 St Pauls Ave, Jersey City, NJ 07306, United States",info@dailydelight.com,1 201-369-1199,,Saim
Rajbhog Foods Inc,http://www.rajbhog.com/,"60 Amity St, Jersey City, NJ 07304, United States",orders@rajbhog.com,1 551-222-4700,,Saim
Sabaot Foods,https://sabaotfoods.com/,,,1 201-397-2660,Duplicate,
KORYEO International Corporation,http://www.luckydelight.com/,,,1 201-479-2041,Duplicate,
Walong Marketing Inc,https://www.walong.com/,"95 Caven Point Rd, Jersey City, NJ 07305, United States",cathyh@walong.com,1 201-604-8899,,Saim
Jetro,https://www.restaurantdepot.com/,,,1 201-434-4334,Duplicate,
"Family Food Distributors, Inc",http://www.familyfooddist.com/,,,1 201-997-7689,Duplicate,
Happy Herberts Food Co Inc,,,,1 201-386-0985,,
BJ's Wholesale Club,https://www.bjs.com/cl/jersey-city/0044?trc=locl%7Cggmb%7Cweb%7Cxlob%7Cxlob%7Clocdist%7C0044%7Cstore%7C20240816,,,1 201-798-0500,website not working,
Moise Holdings LLC,https://moiseholdingllc.godaddysites.com/,"111 Town Square Pl Ste 1238 PMB 125587, Jersey City, NJ 07310, United States",astigma@astigmatic.com,1 201-431-5870,,Saim
,,,,,,
Abarrotes Valdez LLC,https://www.abarrotesvaldezllc.com/,"1461 Hamilton Ave, Trenton, NJ 08629, United States",micah@micahrich.com,1 609-422-1200,,Saim
Carolina Food Market,,,,1 609-392-0855,Website not available,
D E Deli Mini-Market,,,,1 609-393-2900,Website not available,
