Business Name,Address,City,State,Zip,License Number,Phone Number,Contractor Type,Website,Email,Sourse Link,Worker
A - ONE CONSTRUCTION,45847 WARM SPRINGS BLVD,FREMONT,CA,94539,929384,(510) 347-5400,Painting,,,,
A - ONE CONSTRUCTION,45847 WARM SPRINGS BLVD,FREMONT,CA,94539,929384,(510) 347-5400,Roofing,,,,
A - TEAM PAINTING CORPORATION,868 S WINCHESTER BLVD,SAN JOSE,CA,95128,806748,(408) 830-9327,Painting,,,,Ashan
A - Z TILE,1139 BIRD AVE APT 2,SAN JOSE,CA,95125,1090215,(408) 828-1895,Tile,,,,Ashan
A & A BROTHERS PAINTING INC,1805 LITTLE ORCHARD ST STE 110,SAN JOSE,CA,95125,567372,(408) 253-1411,Painting,,,,Ashan
A & A DREAM HOUSE CONSTRUCTION,3756 DOTTIELYN AVENUE,SAN JOSE,CA,95111,1068611,(408) 442-0960,General,,,,Ashan
A & A FLOORING,794 N DANIEL WAY,SAN JOSE,CA,95128,840050,(408) 375-4434,General,,,,Ashan
A & A FLOORING,794 N DANIEL WAY,SAN JOSE,CA,95128,840050,(408) 375-4434,Flooring,,,,Rehan
A & A PAINTING COMPANY,161 SO 17TH STREET,SAN JOSE,CA,95112,700015,(408) 239-9250,Painting,,,,Ashan
A & B HEATING AND AIR CONDITIONING,1586 HILLMONT AVE,SAN JOSE,CA,95127,858592,(408) 272-8045,General,,,,Ashan
A & B HEATING AND AIR CONDITIONING,1586 HILLMONT AVE,SAN JOSE,CA,95127,858592,(408) 272-8045,Electrical,,,,Rehan
A & B HEATING AND AIR CONDITIONING,1586 HILLMONT AVE,SAN JOSE,CA,95127,858592,(408) 272-8045,HVAC,,,,Rehan
A & B HEATING AND AIR CONDITIONING,1586 HILLMONT AVE,SAN JOSE,CA,95127,858592,(408) 272-8045,Plumbing,,,,Rehan
A & D BUILDERS,P O BOX 720157,SAN JOSE,CA,95172,884861,(408) 868-0101,General,,,,Ashan
A & D BUILDERS,P O BOX 720157,SAN JOSE,CA,95172,884861,(408) 868-0101,General,,,,Rehan
A & D BUILDERS,P O BOX 720157,SAN JOSE,CA,95172,884861,(408) 868-0101,Landscaping,,,,Rehan
A & H HEATING & AIR CONDITIONING SERVICE INC,770 CHESTNUT ST,SAN JOSE,CA,95110,304472,(408) 279-0722,HVAC,,,,Ashan
A & I CONSTRUCTION INC,5746 SANTA TERESA BLVD,SAN JOSE,CA,95123,907404,(408) 768-4938,General,,,,Ashan
A & J CALIFORNIA BUILDERS INC,1261 LINCOLN AVE  STE 106,SAN JOSE,CA,95125,949668,(408) 988-8739,General,,,,Ashan
A & K ELECTRIC,408 N KINGSTON STREET,SAN MATEO,CA,94401,790880,(650) 642-1666,Electrical,,,,Ashan
A & O CONSTRUCTION,236 S CRAGMONT AVENUE,SAN JOSE,CA,95127,951051,(408) 687-2615,General,https://ao-constructions.com/,javierf2010@live.com,https://ao-constructions.com/,Ashan
A & R BENTLEY PAINTING,744 CALERO AVENUE,SAN JOSE,CA,95123,973872,(408) 417-5519,Painting,https://arbentleypainting.com/contact-us,ARBentleyPainting@yahoo.com,https://www.facebook.com/AandRBentleyPainting/#,Ashan
A & S CALIFORNIA CONSTRUCTION INC,1334 QUAIL CREEK CIRCLE,SAN JOSE,CA,95120,818534,(408) 386-4075,General,,,,Ashan
A & S HEATING COOLING & APPLIANCE REPAIR,P O BOX 51716,SAN JOSE,CA,95151,991074,(408) 270-2260,HVAC,https://www.facebook.com/aandshvac/,installorrepair@gmail.com,https://www.facebook.com/aandshvac/,Ashan
A & S HEATING COOLING & APPLIANCE REPAIR,P O BOX 51716,SAN JOSE,CA,95151,991074,(408) 270-2260,Plumbing,,,,Rehan
A & Y EXPERT TREE SERVICE INC,3228 COLDWATER DRIVE,SAN JOSE,CA,95148,1102626,(408) 624-7790,Tree,,,,Ashan
A 1 - STUMP REMOVAL,701 HARRISON STREET,SAN JOSE,CA,95125,930660,(408) 439-6975,Tree,https://www.facebook.com/a1stumptreeservice/#,andrew@aonestump.com,https://www.facebook.com/a1stumptreeservice/#,Ashan
A 1 TREE CARE,2099 HURAN DR,SAN JOSE,CA,95122,1058103,(408) 417-7922,Tree,,,,Ashan
A 2 Z BUILDERS,5450 THORNWOOD DR SUITE F,SAN JOSE,CA,95123,1105847,(408) 500-7631,General,,,,Ashan
A 2 Z CONSTRUCTION,5294 TOMAHAWK DR,SAN JOSE,CA,95136,1060846,(408) 460-0745,General,,,,Ashan
A A A AVALON BUILDER CORPORATION,205 DE ANZA BLVD UNIT 238,SAN MATEO,CA,94402,932093,(650) 504-9978,General,,,,Ashan
A A A ELECTRIC,1083 YERBA BUENA RD,SAN JOSE,CA,95121,741094,(408) 557-8899,Electrical,,,,Ashan
A A A LANDSCAPING GROUP INC,P O BOX 21268,SAN JOSE,CA,95111,987879,(408) 422-1679,Landscaping,,,,Ashan
A A CONSTRUCTION CO,P O BOX 610637,SAN JOSE,CA,95161,871771,(408) 827-1161,General,,,,Ashan
A A ELECTRICAL,10311 REVA COURT,SAN JOSE,CA,95127,759655,(408) 858-7130,Electrical,,,,Ashan
A AND D CONSTRUCTION,525 SAVSTROM WAY,SAN JOSE,CA,95111,1095599,(408) 600-7772,General,https://www.aanddconstructors.com/,baldemarbarragan@yahoo.com,https://www.aanddconstructors.com/,Ashan
A AND L BENITEZ ELECTRIC,2397 BLANDING AVENUE,SAN JOSE,CA,95121,997535,(408) 750-4070,Electrical,,,,Ashan
A AND L ELECTRIC COMPANY,1703 DEWEY STREET,SAN MATEO,CA,94403,395735,(650) 578-1854,Electrical,,,,Ashan
A B / J D D PLUMBING HEATING & AIR CONDITIONING INC,390 S WHITE ROAD,SAN JOSE,CA,95127,544427,(408) 251-1820,HVAC,https://www.abjddplumbing.com/,DSOUZA@ABJDDPLUMBING.COM,https://www.abjddplumbing.com/,Ashan
A B / J D D PLUMBING HEATING & AIR CONDITIONING INC,390 S WHITE ROAD,SAN JOSE,CA,95127,544427,(408) 251-1820,Plumbing,,,,Rehan
A B C & D INC,97 BOSTON AVE ROOM 207,SAN JOSE,CA,95128,1103628,(650) 695-9800,General,,,,Ashan
A B C PLUMBING AND DRAIN,3458 GILA DRIVE,SAN JOSE,CA,95148,966355,(408) 444-2065,Plumbing,,,,Ashan
A B CASTRO PLUMBING INC,P. O. BOX 8696,SAN JOSE,CA,95155,866997,(408) 993-9004,Landscaping,,,,Ashan
A B CASTRO PLUMBING INC,P. O. BOX 8696,SAN JOSE,CA,95155,866997,(408) 993-9004,Plumbing,,,,Rehan
A B L PAINTING INC,660 S WINCHESTER BLVD #28,SAN JOSE,CA,95128,933672,(408) 449-7297,Painting,https://www.facebook.com/p/ABL-Painting-100063778186196/,ernestobojorquez@ablpaintinginc.com,https://www.facebook.com/p/ABL-Painting-100063778186196/,Ashan
A B LANDSCAPING INC,22400 CARROLL OAKS WAY,SAN JOSE,CA,95120,857957,(408) 362-9251,Concrete,https://www.ab-landscaping.com/, info@ab-landscaping.com,https://www.ab-landscaping.com/,Ashan
A B LANDSCAPING INC,22400 CARROLL OAKS WAY,SAN JOSE,CA,95120,857957,(408) 362-9251,Landscaping,,,,Rehan
A B WEST CONSTRUCTION,522 N CLAREMONT STREET,SAN MATEO,CA,94401,623885,(650) 799-5521,General,http://abwestconstruction.com/,usabwest@yahoo.com,http://abwestconstruction.com/,Ashan
A C A REMODELING DESIGN,25 S 8TH STREET SUITE 2,SAN JOSE,CA,95112,941906,(925) 200-0045,General,https://www.facebook.com/ACA.Remodeling.Design/,carlos@acaremodelingdesign.com,https://www.facebook.com/ACA.Remodeling.Design/,Ashan
A C M CONSTRUCTION INC,2472 MALAGA DR,SAN JOSE,CA,95125,708371,(408) 921-3893,General,,,,Ashan
A C M CONSTRUCTION INC,2472 MALAGA DR,SAN JOSE,CA,95125,708371,(408) 921-3893,Electrical,,,,Rehan
A CALIFORNIA HOME,813 SEABURY DRIVE,SAN JOSE,CA,95136,960060,(408) 250-3726,General,https://www.facebook.com/p/A-California-Home-Construction-100067420482029/,acaliforniahome@gmail.com,https://www.facebook.com/p/A-California-Home-Construction-100067420482029/,Ashan
A CH PLUMBING INC,328 MAYELLEN AVENUE,SAN JOSE,CA,95126,932008,(408) 250-7853,Plumbing,,,,Ashan
A CLASSIC CONTRACTOR,517 COLUMBIA AVENUE,SAN JOSE,CA,95126,843067,(408) 499-5338,General,,,,Ashan
A D A DEMOLITION INC,55 SAN JOSE AVE,SAN JOSE,CA,95125,968079,(408) 899-2836,Demolition,,,,Ashan
A D A DEMOLITION INC,55 SAN JOSE AVE,SAN JOSE,CA,95125,968079,(408) 899-2836,Painting,,,,Rehan
A D A DEMOLITION INC,55 SAN JOSE AVE,SAN JOSE,CA,95125,968079,(408) 899-2836,Clean Up,,,,Rehan
A D C CONSTRUCTION MANAGEMENT INC,998 PARK AVE,SAN JOSE,CA,95126,750193,(408) 297-1881,General,https://adccm.com/,info@adccm.com,https://adccm.com/,Ashan
A D G CONSTRUCTION INC,5290 RUNNING BEAR DRIVE,SAN JOSE,CA,95136,990539,(408) 314-7733,General,https://adgconstructioninc.com/,gonzalo@adgcon.com,https://adgconstructioninc.com/,Ashan
A DANISH CONSTRUCTION COMPANY,4514 NICOLET AVE,FREMONT,CA,94536,861706,(415) 350-5769,General,,,,Ashan
A DURAN CONSTRUCTION,1571 CRAGWOOD LANE,SAN JOSE,CA,95122,705665,(408) 387-4783,General,,,,Ashan
A E S T REALTY,4100 MOORPARK AVE  SUITE 205,SAN JOSE,CA,95117,951566,(408) 865-1972,General,,,,Ashan
A F GENERAL CONTRACTORS INC,1000 S TENTH STREET,SAN JOSE,CA,95112,1009869,(408) 691-5918,General,,,,Ashan
A F GENERAL CONTRACTORS INC,1000 S TENTH STREET,SAN JOSE,CA,95112,1009869,(408) 691-5918,Concrete,,,,Rehan
A G CORE INC,5292 AMELIA DR,SAN JOSE,CA,95118,831249,(408) 838-2872,General,,,,Ashan
A G ELECTRICAL INC,1787 DARWIN WAY,SAN JOSE,CA,95122,1084082,(510) 200-4972,Electrical,,,,Ashan
A G F CONSTRUCTION,15385 WARWICK ROAD,SAN JOSE,CA,95124,882821,(408) 838-9150,General,,,,Ashan
A G M REMODELING / CONSTRUCTION,2020 SOUTHWEST EXPY APT 23,SAN JOSE,CA,95126,1045637,(559) 715-9260,General,,,,Ashan
A G R PLUMBING,1123 EAST 5TH AVE,SAN MATEO,CA,94402,1072671,(650) 921-4956,Plumbing,https://www.facebook.com/Agr.plumbingman,goralez@hotmail.com,https://www.facebook.com/Agr.plumbingman,Ashan
A GREEN HOME,1103 E 16TH AVE,SAN MATEO,CA,94402,934342,(650) 400-3600,General,,,,Ashan
A H CONSTRUCTION,40479 ENCYCLOPEDIA CIRCLE,FREMONT,CA,94538,566329,(408) 210-5277,General,,,,Ashan
A H CONSTRUCTION CO,349 DORIS AVENUE,SAN JOSE,CA,95127,771509,(650) 799-8712,General,,,,Ashan
A HANDY CONTRACTOR,3622 COBBERT DR,SAN JOSE,CA,95148,770205,(408) 729-6222,General,,,,Ashan
A HANDY CONTRACTOR,3622 COBBERT DR,SAN JOSE,CA,95148,770205,(408) 729-6222,Painting,,,,Rehan
A J CONSTRUCTION,4258 STEVENSON BLVD,FREMONT,CA,94536,1046328,(510) 789-7006,General,,,,Ashan
A J ELECTRICAL INC,1935 CAMDEN AVE,SAN JOSE,CA,95124,402235,(408) 628-4043,Electrical,,,,Ashan
A J FENCE INC,2530 BERRYESSA ROAD SUITE 110,SAN JOSE,CA,95132,1002573,(408) 482-1172,Fencing,,,,Ashan
A JACQUES PLUMBING & DRAIN,247 N CAPITOL AVE #287,SAN JOSE,CA,95127,1113896,(408) 442-0630,Plumbing,,,,Ashan
A K CONSTRUCTION,P O BOX 25432,SAN MATEO,CA,94402,729251,(650) 343-7335,General,,,,Ashan
A L M CUSTOM PAINTING,1784 E WILLIAM ST,SAN JOSE,CA,95116,833383,(408) 422-2867,Painting,,,,Ashan
A L S FIRE PROTECTION INC,1787 CARDEL WAY,SAN JOSE,CA,95124,831517,(408) 655-8974,Fire Protection,,,,Ashan
A M A MEDINA / CONSTRUCTION,5170 LEIGH AVENUE,SAN JOSE,CA,95124,901784,(408) 799-4071,General,https://amamedinaconstruction.wordpress.com/,amamedinaconstruct@gmail.com,https://amamedinaconstruction.wordpress.com/,Ashan
A M A MEDINA CONSTRUCTION,5170 LEIGH AVENUE,SAN JOSE,CA,95124,1004294,(408) 799-4070,General,,,,Ashan
A M BACKFLOW,2317 STRATFORD DR,SAN JOSE,CA,95124,1118543,(408) 761-4770,Plumbing,,,,Ashan
A M BUILDERS LLC,506 CAPITOL VILLAGE CIR,SAN JOSE,CA,95136,1088552,(805) 216-6563,General,,,,Ashan
A M C GENERAL CONSTRUCTION,1127 SABAL COURT,SAN JOSE,CA,95132,993952,(408) 309-2112,General,,,,Ashan
A M CLEANING SERVICES,4879 CAMPBELL AVE #1,SAN JOSE,CA,95130,1126585,(408) 561-8024,Clean Up,,,,Ashan
A M DRYWALL INC,295 KINNEY DR,SAN JOSE,CA,95112,800108,(408) 286-4800,General,,,,Ashan
A M ELECTRICAL COMPANY,5079 MONTREAL DRIVE,SAN JOSE,CA,95130,819456,(408) 206-0491,Electrical,,,,Ashan
A M GENERAL CONTRACTORS INC,295 KINNEY DRIVE,SAN JOSE,CA,95112,964298,(408) 286-4800,General,,,,Rehan
A M K ELECTRIC,13550 CLAYTON ROAD,SAN JOSE,CA,95127,987687,(408) 646-7828,Electrical,,,,Ashan
A M K ROOFING,184 TALMADGE AVE,SAN JOSE,CA,95127,863875,(408) 937-6972,Roofing,,,,Ashan
A M S CONSTRUCTION,4010 MOORPARK AVE,SAN JOSE,CA,95117,1067449,(415) 254-2634,General,,,,Ashan
A M S SECURITY SYSTEMS,P O BOX 5056,SAN JOSE,CA,95150,685447,(408) 497-1027,Electrical,,,,Ashan
A M SERVICES,4725 THORNTON AVENUE,FREMONT,CA,94536,743503,(510) 797-7980,General,,,,Ashan
A M SERVICES,4725 THORNTON AVENUE,FREMONT,CA,94536,743503,(510) 797-7980,Electrical,,,,Rehan
A M SERVICES,4725 THORNTON AVENUE,FREMONT,CA,94536,743503,(510) 797-7980,Plumbing,,,,Rehan
A MENDEZ CONSTRUCTION INC,2663 COIT DRIVE,SAN JOSE,CA,95124,1098899,(408) 417-6439,General,,,,Sharoon
A N CONSTRUCTION,2318 GRIMSBY CT,SAN JOSE,CA,95130,1020270,(408) 426-6343,General,,,,Sharoon
A N CONSTRUCTION,2318 GRIMSBY CT,SAN JOSE,CA,95130,1020270,(408) 426-6343,Plumbing,,,,Sharoon
A O HEATING & AIR - CONDITIONING,1651 LATITUDE DRIVE #1,SAN JOSE,CA,95124,900609,(408) 930-2809,Electrical,,,,Sharoon
A O HEATING & AIR - CONDITIONING,1651 LATITUDE DRIVE #1,SAN JOSE,CA,95124,900609,(408) 930-2809,HVAC,,,,Sharoon
A OKEHA CONSTRUCTION,1744 WILLOW CREEK CT,SAN JOSE,CA,95124,1085749,(408) 373-6429,General,,,,Sharoon
A P C CONSTRUCTION,533 CHATEAU LA SALLE DR,SAN JOSE,CA,95110,854923,(408) 216-3049,General,https://www.apcconstructioninc.com/,info@apcconstructioninc.com,https://www.apcconstructioninc.com/,Sharoon
A P GENERAL CONSTRUCTION,433 PATRICIA AVE #B,SAN MATEO,CA,94401,1055965,(408) 840-6418,General,https://www.facebook.com/apgeneralconstruction/,apconstruction650@gmail.com,https://www.facebook.com/apgeneralconstruction/,Sharoon
A P S ROOTER,1725 LOCKSLEY PAKR DRIVE,SAN JOSE,CA,95132,832943,(408) 529-8274,Plumbing,,,,Sharoon
A PLUS COMMERCIAL SERVICES,2526 QUME DRIVE SUITE #25,SAN JOSE,CA,95131,860659,(408) 510-1573,General,https://www.apluscommercialservices.com/,service@apluscommercial.net,https://www.apluscommercialservices.com/,Sharoon
A PLUS COMMERCIAL SERVICES,2526 QUME DRIVE SUITE #25,SAN JOSE,CA,95131,860659,(408) 510-1573,HVAC,,,,Sharoon
A PLUS COMMERCIAL SERVICES,2526 QUME DRIVE SUITE #25,SAN JOSE,CA,95131,860659,(408) 510-1573,Plumbing,,,,Sharoon
A PLUS CONSTRUCTION LLC,1557 ORANGEWOOD DRIVE,SAN JOSE,CA,95121,1019022,(408) 750-7457,General,,,,Sharoon
A R CONTRACTOR,P O BOX 1990,SAN JOSE,CA,95109,803483,(408) 656-5610,General,,,,Sharoon
A R P ELECTRIC,5300 TERNER WAY APT #5102,SAN JOSE,CA,95136,1005583,(408) 854-9901,Electrical,,,,Sharoon
A R PAINTING,1085 MCGINNESS AVE #3123,SAN JOSE,CA,95127,1008827,(408) 794-9087,General,,,,Sharoon
A R PAINTING,1085 MCGINNESS AVE #3123,SAN JOSE,CA,95127,1008827,(408) 794-9087,Painting,,,,Sharoon
A S A P ASPHALT,2580 SENTER ROAD SPC # 450,SAN JOSE,CA,95111,1003455,(408) 687-0385,Landscaping,,,,Sharoon
A S T SCAFFOLDING,P O BOX 1429,FREMONT,CA,94538,1043471,(559) 579-8456,General,,,,Sharoon
A S T SCAFFOLDING,P O BOX 1429,FREMONT,CA,94538,1043471,(559) 579-8456,Drywall,,,,Sharoon
A T D CONSTRUCTION GROUP INC,4152 WATKINS WAY,SAN JOSE,CA,95135,1054115,(669) 333-6981,General,,,,Sharoon
A T LANDSCAPING INC,2881 URZI COURT,SAN JOSE,CA,95135,655533,(408) 206-7661,Landscaping,https://www.aravatlandscaping.com/,office@aravatlandscaping.com,https://www.aravatlandscaping.com/,Sharoon
A T S PLUMBING AND BOILER,1466 SEAREEL PLACE,SAN JOSE,CA,95131,466960,(408) 926-2718,General,https://www.atsair.com/,dispatch@atsair.com,https://www.facebook.com/alltemperatureserviceairconditioninginc,Sharoon
A T S PLUMBING AND BOILER,1466 SEAREEL PLACE,SAN JOSE,CA,95131,466960,(408) 926-2718,HVAC,,,,Sharoon
A T S PLUMBING AND BOILER,1466 SEAREEL PLACE,SAN JOSE,CA,95131,466960,(408) 926-2718,Plumbing,,,,Sharoon
A TO Z GENERAL CONSTRUCTION,887 LE COMPTE PLACE,SAN JOSE,CA,95135,930849,(408) 590-1945,General,,,,Sharoon
A TO Z PAINTING,238 MUIRFIELD DRIVE,SAN JOSE,CA,95116,848117,(408) 431-6260,Painting,,,,Sharoon
A TOUCH OF STONE,640 COMMERCIAL STREET,SAN JOSE,CA,95112,952008,(408) 320-1977,Tile,https://atouchofstonebayarea.com/,info@atouchofstone.net,https://atouchofstonebayarea.com/,Sharoon
A V CABINETRY,1860 ALMADEN ROAD,SAN JOSE,CA,95125,1010799,(408) 661-1080,Finish Carpentry,https://www.facebook.com/p/AV-Cabinetry-100027272006728/,arielvillamayor@gmail.com,https://www.facebook.com/p/AV-Cabinetry-100027272006728/,Sharoon
A W PLUMBING INC,1144 STRADA ALMADEN,SAN JOSE,CA,95120,921078,(408) 568-7208,Plumbing,,,,Sharoon
A-1 ELECTRIC CO,421 E HEDDING STREET,SAN JOSE,CA,95112,430147,(408) 975-9171,Electrical,,,,Sharoon
A-1 QUALITY CONSTRUCTION,2111 LAURELEI AVENUE,SAN JOSE,CA,95128,639924,(408) 836-6866,General,,,,Sharoon
A-H CONSTRUCTION INC,2240 DENAIR AVENUE,SAN JOSE,CA,95122,1076207,(408) 216-3772,General,,,,Sharoon
A-H CONSTRUCTION INC,2240 DENAIR AVENUE,SAN JOSE,CA,95122,1076207,(408) 216-3772,Electrical,,,,Sharoon
A's TREE SERVICE INC,1922 SUMATRA AVE,SAN JOSE,CA,95122,1091630,(408) 600-8803,Tree,,,,Sharoon
A+ PAINTING,4440 MEADOWVILLE COURT,SAN JOSE,CA,95129,857163,(408) 244-1322,Painting,,,,Sharoon
A1 VICTOR's TILE COMPANY,146 SOUTH 26TH STREET,SAN JOSE,CA,95116,821702,(408) 279-2591,Tile,,,,Sharoon
