,Backgroundchecks.com,Clearchecks,GoodHire,AccurateNow,Cisive,First Advantage,Certn,Vetty
,Employment Verification: Validates the candidate's employment history.,Education & Degree Verifications - $19.99,Credit Checks,Education Verification,Continuous Monitoring: Ongoing screening for existing employees to ensure compliance.,Professional License Verification: Confirms the validity of the candidate's professional licenses.,Motor Vehicle Record Checks: $25.,
,Education Verification: Confirms the candidate's educational background.,Motor Vehicle Search - $29.99,Driving Records,Motor Vehicle Reports,Social Media Checks: Reviews online presence for potential red flags.,,Education Verifications: Starting at $3.,
,Professional License Verification: Verifies the candidate's professional licenses.,"Bankruptcies, Liens and Judgements - $19.99",Drug Screening,Drug Testing,,,Employment Verifications: Prices vary based on the institution or employer.,
,,Drug Testing,Healthcare Sanctions,Credit Checks,,,,
,,Add county searches for $14.99 per county + surcharges,Civil Court Checks,Social Media Checks (available with Corporate option),,,,
,,,Professional License Verification,,,,,
,,,Reference Checks,,,,,
,,,Continuous Monitoring,,,,,
,,,,,,,,
Features Listed:,FCRA Compliance: Ensures all background checks adhere to the Fair Credit Reporting Act and other relevant regulations.,No minimums or contracts,Self-Service Portal,"Customizable Packages: Tailored options for different industries (e.g., healthcare, retail, transportation).","Accuracy: Cisive boasts a 99.9993% accuracy rate for criminal background checks, ensuring reliable results.",Mobile-Friendly Interface: Allows users to access and manage background checks on mobile devices.,Self-Serve Platform: Allows businesses to manage background checks efficiently.,"Unlimited Users, Candidates, and Access: No restrictions on the number of users or candidates."
,Customizable Packages: Allows organizations to build their own packages if standard ones do not meet their needs.,Instantly order & send applications,Status Tracking,"Compliance: FCRA, State, and local compliance.","Compliance: Fully compliant with FCRA, state, and federal regulations.",Quick Turnaround Times: Delivers prompt background check reports to facilitate timely hiring decisions.,Enterprise Solutions: Customized packages for larger organizations with complex needs.,Automated Drug Screening: Efficient drug testing processes.
,Candidate Self-Order: Reduces administrative costs by having job candidates request their own background checks.,Pay-as-you-go pricing,Batch Processing,User-Friendly Platform: Easy-to-use online portal for ordering and reviewing background checks.,Customizability: Tailored screening packages to meet specific industry needs.,FCRA Compliance: Ensures all background checks adhere to the Fair Credit Reporting Act and other relevant regulations.,"Compliance: Certn's services comply with relevant regulations, ensuring legal and accurate reporting.",ID and MVR Document Storage: Secure storage solutions.
,,Team Collaboration,Employment Screening,Integration: Seamless integration with Applicant Tracking Systems (ATS) and enterprise-level software.,Integration: Seamless integration with Applicant Tracking Systems (ATS) and HR software.,,,Custom Branded Communication Documents: Personalized communication tools.
,,API & Integrations,Online Applications,"Customer Support: Online chat, email, and phone support.",Customer Support: Dedicated account managers and 24/7 helpdesk support.,,,VettyVerify™ Candidate Timeline: Transparent tracking of candidate progress.
,,Customer Support,Customizable Screening Packages,Adverse Action Notifications: Automated distribution of compliant Pre-Adverse and Adverse Action notifications.,Speed: 80% of criminal searches are completed within 1 hour.,,,Text-to-Start Candidate Onboarding: Simplified onboarding via text.
,,,Compliance Management (FCRA compliant),"Scalability: Suitable for small to medium-sized businesses, with options for growing companies.",Transparency: Clear reporting and no hidden fees.,,,ATS Integrations Marketplace: Integration with various Applicant Tracking Systems.
,,,API Integration,,,,,Compliance Wizard with Optional VettyComply™: Compliance assistance tools.
,,,Real-Time Progress Monitoring,,,,,
,,,Automated Workflows,,,,,
,,,User-Friendly Interface,,,,,
,,,"Responsive Customer Support (Phone, Live Chat, Email, Tickets)",,,,,
