Crunchbase link,Business Name,Website,Contact Form Link,Email,Phone,Address,City,State,Country,Business Type,Brief Description,,Notes,Worker
,Flux Defense,https://fluxdefense.com/support/contact-us,https://fluxdefense.com/support/contact-us,customer-service@fluxdefense.com,801-842-5332,"2618 S 900 W, South Salt Lake, UT 84119",Salt Lake,Utah,United States,Defense & Space,"Flux Defense is a leading company in defense and space manufacturing, specializing in providing the most firepower in the smallest, fastest package. Their flagship product, the Flux Raider, runs on the M17/P320 operating system",,,Sharoon
,Jayflex Fitness,https://jayflexfitness.com/,https://jayflexfitness.com/pages/contact-us,support@jayflexfitness.comphone,208-520-0961,"3027 S Willow Creek Dr, Saratoga Springs, UT 84045, USA",Saratoga Springs,Utah,United States,Fitness,"Jayflex Fitness provides CrossGrips, a portable gym solution for powerful workouts, catering to fitness enthusiasts seeking convenient and effective fitness gear",,,Sharoon
,Herbal Mana,https://herbalmana.com/,https://herbalmana.com/pages/contact-us,support@herbalmana.com,801-477-4453,"1274 Orchard Hts Logan, UT 84321 US",Logan,Utah,United States,Health & Wellness,"Herbal Mana is a natural herbal pain relief company founded on the belief that everyone deserves access to high-quality, organic solutions for a healthier life. With a focus on eco-friendly practices, Herbal Mana offers a range of products",,,Sharoon
,Devos Outdoor,https://www.devosoutdoor.com/,https://www.devosoutdoor.com/pages/contact-us,cs@devosbrands.com,385-325-9099,"565 N Main St, Springville, UT 84663, US",Springville,Utah,United States,Sporting Goods,"DEVOS Outdoor is a company based in Springville, Utah, specializing in developing outdoor solutions. They offer a range of innovative outdoor products designed for both rugged backcountry adventures and everyday outdoor use",,,Sharoon
,Haven Tents,https://haventents.com/,https://haventents.com/pages/contact,info@haventents.com,385-284-2238,"3981 E Alpine Valley Cir, Sandy, Utah, 84092, United States",Sandy,Utah,United States,Sporting Goods,"Haven Tents is a retail outdoor startup founded in 2019, offering lay flat hammock tents and camping hammocks designed to make sleep the highlight of camping. Their proprietary hammocks provide maximum comfort for adventurers whether backpacking",,,Sharoon
,TeamKeto,https://teamketo.com/,,support@teamketo.com,888-498-0969,1881 North Technology Drive Springville Utah 84663 United States,Springville,Utah,United States,Fitness,"TeamKeto provides resources and tools to make Keto easier, tastier, and more effective. We do that by providing free keto challenges, training videos, health articles, recipes, community groups, and developing clean keto supplements that are proven to maximize your results. At TeamKeto, all of our supplements include scientifically-proven, patented, all-natural ingredients at clinically effective dosages. They are completely free of fillers, junk, artificial, chemical ingredients, and other things that may kick you out of ketosis.",,,Sharoon
,XPRS Nutra,https://xprsnutra.com/,,info@xprsnutra.com,,"South Jordan, Utah, United States",South Jordan,Utah,United States,Fitness,"XPRS Nutra is America's #1 retailer for empty pill capsules and supplemental powders. They provide a wide range of empty capsules in various sizes and materials, including vegan and gelatin options in over 30 colors.",,,Sharoon
,Pale Blue,https://paleblueearth.com/,,support@paleblueearth.com,866-680-2088,"2750 Rasmussen Rd, Suite H203 Park City, UT 84098",Park City,Utah,United States,Electrical Equipment,"Paleblue offers high-performance USB rechargeable lithium batteries to replace disposables, promoting sustainability and innovation for a better future.",,,Sharoon
,Maderra - Bookshelf Doors,https://maderrashop.com/,https://maderrashop.com/contact-us/,customersupport@maderrashop.com,866-346-8924,"316 Vine St, Murray, UT 84107",Murray,Utah,United States,Furniture,Maderra specializes in creating custom secret bookshelf doors that enhance the aesthetic and functionality of homes by providing stylish and mysterious access to hidden spaces,,,Sharoon
,Hutch Tents,https://hutchtents.com/,https://hutchtents.com/pages/contact,info@hutchtents.com,731-307-7324,"825 S 500 W, Salt Lake City, UT, United States",Salt Lake City,Utah,United States,Sporting Goods,"Hutch Tents offers premium overland rooftop tents designed for cars and trucks, providing comfort, durability, and affordability. Their waterproof and mold-proof tents, made from rip-stop poly canvas, elevate the car camping experience",,,Sharoon
,VelociRAX,https://www.velocirax.com/,https://www.velocirax.com/pages/contact-us,support@velocirax.com,435-344-4446,"520 South 850 East, B5, Lehi UT 84043, United States",Lehi,Utah,United States,Sporting Goods,"VelociRAX: Innovative vertical bike racks with self-lowering hitch for easy access and seamless loading, perfect for storing and transporting bikes effortlessly.",,,Sharoon
,Lavington Designs,https://lavingtondesigns.com/,,orders@lavingtondesigns.com,435-255-0980,276 Cove Circle Stansbury Park Ut 84074,Stansbury Park,Utah,United States,Retail,"LavingtonDesigns specializes in providing a wide range of personalized gifts, including monogrammed tote bags and custom embroidered items, catering to various occasions and preferences.",,,Sharoon
,Bone-Dri,https://www.bone-dri.com/,https://www.bone-dri.com/pages/contact-us,info@bone-dri.com,,"858 S Automall Dr #101. American Fork, UT 84003",American Fork,Utah,United States,Mechanical or Industrial engineering,"BONE DRI™ Rust Prevention Gun Cases use Absorbits™ Technology to eliminate moisture, preventing rust with a patented design and lifetime warranty. Supporting charitable causes, BONE DRI keeps firearms dry, safe, and rust-free.",,,Sharoon
,Vevano Home,https://vevano.com/,https://vevano.com/pages/contact,support@vevano.com,888-497-4338,"165 S Regent St. Salt Lake City, Utah 84111, US",Salt Lake City,Utah,United States,Mechanical or Industrial engineering,"Vevano Home offers top-notch home interior design products and services, making personalized design accessible and affordable for all. Simplify your home improvement projects with expert designers and high-quality products",,,Sharoon
,Electric Wild Rags,https://electricwildrags.com/,https://electricwildrags.com/pages/contact-us-electric-wild-rags,info@electricwildrags.com,801-821-0999,"PO Box 23 Morgan, Utah 84050",Morgan,Utah,United States,Apparel and Fashion,"Electric Wild Rags offers flame-resistant wild rags and gaiters proudly made in the USA, designed for individuals in need of FR/AR protection in diverse industries.",,,Sharoon
,Health Beet,https://healthbeet.org/,https://healthbeet.org/contact-us/,contact@healthbeet.org,385-434-3436,"148 S 1200 E Lindon, UT 84042",Lindon,Utah,United States,Wellness & Fitness,"Health Beet offers weight loss tips, low calorie recipes, portion control tools, and nutrition information to help individuals reach their weight loss goals",,,Sharoon
,Pyro Putty,https://pyroputty.com/,https://pyroputty.com/contact/,will@pyroputty.com,800-790-4480,"75 N Main St Beaver, UT 84713, USA",Beaver,Utah,United States,Sporting Goods,"Pyro Putty offers waterproof fire starters and accessories for igniting fires in any conditions. Their proprietary blend ensures easy ignition and long-lasting burns, making it a must-have for outdoor enthusiasts",,,Sharoon
,Itiba,https://itibabeauty.com/,https://itibabeauty.com/contact-us/,contactus@itibabeauty.com,340-201-0105,"Virgin, Utah, United States",Virgin,Utah,United States,Wellness & Fitness,Itiba Beauty offers Caribbean-inspired all-natural skincare products with a range of scent collections to choose from for a personalized beauty experience,,,Sharoon
,James Street Co.,https://www.jamesstreetco.com/,https://www.jamesstreetco.com/pages/contact,press@jamesstreetco.com,,"Salt Lake City, Utah, United States",Salt Lake City,Utah,United States,Apparel and Fashion,"James Street Co. is a sustainable knitwear company founded in 2018 by designer Jess Reese. They offer obtainable luxury knitwear made in small batches with a focus on environmental respect. With limited drops and exclusive items, James Street Co",,,Sharoon
,Nature's Boost,https://natures-boost.com/,https://natures-boost.com/contact/,contact@natures-boost.com,425-448-6909,"282 S 1250 W Ste B, Lindon, Utah, 84042, United States",Lindon,Utah,United States,Wellness & Fitness,"Nature's Boost LLC, also known as Nature's Boost, is a customer-focused company that provides high-quality products and excellent service. They offer a wide range of health and wellness products",,,Sharoon
,Gravity Coalition,https://gravitycoalition.com/,https://gravitycoalition.com/pages/contact-us,kody@gravitycoalition.com,435-671-3393,"269A E Main St, Midway, UT 84049",Midway,Utah,United States,Sporting Goods,"Gravity Coalition is a Utah freeride shop in Midway, providing gear for outdoor enthusiasts from top brands like Santa Cruz and Salomon",,,Sharoon
,MOVI hats,https://movihats.com/,https://movihats.com/pages/contact-us,questions@movihats.com,801-318-4260,"Riverton, UT 84065, USA",Riverton,Utah,United States,Apparel and Fashion,"MOVI Hats: The ultimate performance hat for everyday adventurers, combining fashion and function for all your adventures",,,Sharoon
,Laki Active,https://lakiactive.com/,https://lakiactive.com/pages/contact,info@lakiactive.com,801-669-0072,"LAKI HQ 338 North 460 East Vineyard, UT 84059",Vineyard,Utah,United States,Apparel and Fashion,"LAKI ACTIVE is a premium activewear brand that offers stylish and comfortable activewear for the modern woman. Their mantra is to be better and do better, and they aim to help customers make the most of their workouts",,,Sharoon
,Stone Mountain Press,https://stonemountainpress.com/,https://stonemountainpress.com/pages/about-us,orders@stonemountainpress.com,801-475-1963,"520 26th Street, Ogden, UT, United States",Ogden,Utah,United States,Graphic designer,"Stone Mountain Press is a family-owned print shop and design studio based in Ogden, Utah. They specialize in creating custom paper products such as holiday photo cards, stationery, and invitations",,,Sharoon
,Extreme Motus,https://extrememotus.com/,https://extrememotus.com/contact-us/,ryan@extrememotus.com,801-683-9191,"317 N 2000 W #324C, Springville, UT 84663",Springville,Utah,United States,Machinery,"Extreme Motus provides the X3 all-terrain wheelchair, enabling individuals with disabilities to safely and comfortably explore nature's diverse landscapes. From sandy beaches to rocky terrains",,,Sharoon
,GCL Systems,https://gclsystems.com/,https://gclsystems.com/contact/,info@gclsystems.com,801-549-0670,"625 E 500 S Suite 203 Bountiful, Utah 84010",Bountiful,Utah,United States,Medical Practice,"GCL Systems builds provisional dental implant cuffs that advance patient experience. Made by dentists for dentists for Sculpting Tissue...One Time! Based on feedback from implantologists across the US, you loved the concept of GCL",,,Sharoon
,SLABWAY,https://www.slabway.com/,https://www.slabway.com/contact-us.html,info@slabway.com,,"American Fork, Utah, United States",American Fork,Utah,United States,Mechanical or Industrial engineering,"Slabway Massage chairs and related products for foot,leg... The Slabway is a store for massage chair, shiatsu foot, leg and hand massagers. Your browser doesn't support javascript! At Slabway.com we are passionate about pain relief.",,,Sharoon
,Quintessence Health & Wellness,https://quintessencehealthandwellness.com/,https://quintessencehealthandwellness.com/contact-us/,qhwcontact@gmail.com,801-930-9381,"880 E 9400 S, Sandy, UT 84094, USA",Sandy,Utah,United States,Wellness & Fitness,"Quintessence Health & Wellness offers a comprehensive range of health and wellness treatments, including facials, injectables, and hormone therapy, aimed at helping clients achieve their personal health and wellness goals",,,Sharoon
,THG Naturals,https://thgnaturals.com/,https://thgnaturals.com/contact/,info@thgnaturals.com,385-535-5512,"4012 S River Rd, St. George, UT 84790, USA",George,Utah,United States,Wellness & Fitness,"THG Naturals provides natural CBD products for health improvement, including migraine relief and anti-inflammatory benefits. Join as a preferred member to save on orders and get exclusive discounts, with every 3rd renewal order free",,,Sharoon
,Pattern,https://pattern.com/,https://pattern.com/contact-us,hello@pattern.com,888-881-7576,"1441 W. Innovation Way, Suite 500 Lehi , UT 84043",Lehi,Utah,United States,Retail,Pattern is a premier ecommerce accelerator that buys inventory to accelerate brand growth on marketplaces and digital channels.,,,Sharoon
,Brandless,https://brandless.com/,,support@brandless.com,888-734-4424,"Lindon, UT 84042, USA",Lindon,Utah,United States,Mechanical or Industrial engineering,"Brandless: Rapidly growing omni channel platform offering high-quality health and wellness products at affordable prices with a focus on community, sustainability, and trust.",,,Sharoon
,Zonos,https://zonos.com/,https://zonos.com/contact-sales,inquire@zonos.com,435-239-3062,"432 Ridgeview Dr, St. George, UT 84770, USA",George,Utah,United States,Internet Services,"Zonos simplifies international commerce with cross border APIs and duty/tax apps, enabling businesses to sell globally hassle-free. Their SaaS solutions provide tools for seamless cross border trade, including the only true landed cost solution",,,Sharoon
,Blackstone Products,https://blackstoneproducts.com/,https://blackstoneproducts.com/pages/contact,support@blackstoneproducts.com,435-252-3030,"1073 1700 N, Logan, UT 84321, USA",Logan,Utah,United States,Mechanical or Industrial engineering,"Blackstone Products specializes in manufacturing versatile and durable outdoor cooking equipment, particularly solid rolled steel griddles and cookware, designed to enhance the outdoor cooking experience for various events",,,Sharoon
,Jane,https://jane.com/,https://jane.com/contact-us,support@jane.com,801-382-8585,"3401 N Thanksgiving Way, Lehi, UT 84043, USA",Lehi,Utah,United States,Retail,"Jane.com: Your go-to boutique marketplace for daily deals, handmade items, and trendy products from top brands. Shop fashion, home decor, and more at unbeatable prices",,,Sharoon
,Squatty Potty,https://www.squattypotty.com/,,support@squattypotty.com,855-628-1099,"1664 S Dixie Dr, St. George, UT 84770, USA",George,Utah,United States,Wellness & Fitness,"Squatty Potty offers an innovative toilet stool designed to promote a natural squatting position for improved bowel movements, enhancing the elimination process by aligning the body for optimal colon function",,,Sharoon
,Caddis,https://caddislife.com/,,orders@caddislife.com,801-464-4039,"150 W Commonwealth Ave, South Salt Lake, UT 84115, USA",Salt Lake,Utah,United States,Mechanical or Industrial engineering,"Caddis is a new corrective eyewear brand that provides reading glasses, sun readers, and blue light blocking eyewear. They aim to crush age stereotypes and empower individuals to embrace aging with style and functionality",,,Sharoon
,Cotopaxi,https://www.cotopaxi.com/,https://uk.cotopaxi.com/pages/contact-us,llamas@cotopaxi.com,385-381-6196,"74 Main St, Salt Lake City, UT 84101, USA",Salt Lake City,Utah,United States,Retail,Cotopaxi creates innovative outdoor products and experiences that not only inspire adventure but also fund sustainable poverty relief initiatives through its charitable foundation,,,Sharoon
,Taft,https://taftclothing.com/,,support@taftclothing.com,801-619-2187,"3707 N Canyon Rd, Provo, UT 84604, USA",Provo,Utah,United States,Apparel and Fashion,"TAFT specializes in crafting unique, stylish handmade men's shoes and boots using high-quality leather and textiles, produced by master artisans in Spain and Portugal",,,Sharoon
,Purple,https://purple.com/,,info@purple.com,888-848-0248,"4100 Chapel Ridge Rd, Lehi, UT 84043, USA",Lehi,Utah,United States,Retail,"Purple is an American comfort technology company based in Lehi, Utah, USA. It specializes in the direct-to-consumer sale of mattresses, seat cushions, back cushions, pillows, and platform bases.",,,Sharoon
,Avi-on Labs,https://avi-on.com/,https://avi-on.com/contact-sales/,support@avi-on.com,877-284-6687,"2700 Rasmussen Rd l 10 Park City, UT 84098, USA",Park City,Utah,United States,Consumer Goods,"Avi-on Labs revolutionizes lighting controls with gateway-free technology powered by Bluetooth Smart, offering easy-to-install solutions for commercial lighting needs",,,Sharoon
,Murphy Door,https://murphydoor.com/,https://murphydoor.com/pages/contact,bugs@murphydoor.com,801-410-1332,"1400 W 4400 S #2S Ogden, UT 84405",Ogden,Utah,United States,Furniture,"Murphy Door specializes in hidden doors like bookcase doors, offering security and wonder for any room. They provide innovative space-saving solutions, proudly made in the USA",,,Sharoon
,DoTERRA,https://www.doterra.com/US/en,https://www.doterra.com/US/en/contact-us,service@doterra.com,800-411-8151,"389 S 1300 W, Pleasant Grove, UT, United States",Pleasant Grove,Utah,United States,Wellness & Fitness,doTERRA Essential Oils is a company that produces and distributes exceptionally high-quality CPTG Certified Pure Therapeutic Grade® essential oils through a network of over three million independent distributors worldwide,,,Sharoon
,Goal Zero,https://goalzero.com/,https://goalzero.com/pages/contact,support@goalzero.com,888-794-6250,"12388 South 265 West, Draper, UT, United States",Draper,Utah,United States,Mechanical or Industrial engineering,"Goal Zero develops portable solar power systems, including solar panels, portable power packs, generators, chargers, and accessories. The company offers a range of products for outdoor adventures, off-grid living, and home backup power solutions",,,Sharoon
,Pupford,https://pupford.com/,https://pupford.com/contact/,ops@pupford.com,385-685-0692,"770 S 850 E #4, Lehi, UT, United States",Lehi,Utah,United States,Nonprofit Organization,"Pupford empowers you to raise a happy, healthy pup with training courses, treats, and toys for a stronger bond.",,,Sharoon
,RAGS,https://rags.com/,https://rags.com/pages/contact,hello@rags.com,844-348-8452,"230 N 1200 E, Lehi, UT 84043, USA",Lehi,Utah,United States,Apparel and Fashion,"RAGS is a renowned company known for its innovative 'Rag' rompers, featuring snapless and buttonless designs for kids. Founded by Rachel Nilsson, the brand offers a range of kids' clothing including rompers, jumpsuits, tees, baby pouches, hats",,,Sharoon
,Bucked Up,https://www.buckedup.com/,https://www.buckedup.com/help,contact@buckedup.com,855-205-2825,"815 W University Pkwy, Orem, UT 84058, USA",Orem,Utah,United States,Wellness & Fitness,"Bucked Up is a leading sports nutrition brand offering over 500 products, including the popular Deer Antler Spray. Known for high-quality ingredients and top-selling pre-workout, Bucked Up helps customers achieve fitness goals worldwide.",,,Sharoon
,Ventum,https://ventumracing.com/,https://ventumracing.com/contact-us/,support@ventumracing.com,,"2775 U.S. Hwy 40, Heber City, UT 84032, USA",Heber City,Utah,United States,Sporting Goods,"Ventum is a leading company in the triathlon racing industry, known for creating cutting-edge bicycles with innovative designs inspired by fighter jets and Formula One racing technology. Founded in 2014 in Miami Beach, Florida",,,Sharoon
,Bunny James Boxes,https://bunnyjamesboxes.com/,https://bunnyjamesboxes.com/pages/contact-us,support@bunnyjamesboxes.com,801-716-1779,"8201 s state st, Midvale, UT, United States",Midvale,Utah,United States,Food & Beverages,"Bunny James Boxes offers a wide range of premium gift boxes tailored for every food tribe, including Vegan, Keto, and Paleo options. From gourmet snack boxes to customized corporate gift boxes",,,Sharoon
,Nutricost,https://nutricost.com/,https://nutricost.com/pages/contact-us,support@nutricost.com,866-438-3694,351 E 1750 N Vineyard UT 84059,Vineyard,Utah,United States,Wellness & Fitness,"Nutricost provides high-quality, affordable supplements for health and wellness, including Nutricost Women for women's specific needs. With a focus on quality, transparency, and customer satisfaction",,,Sharoon
,Looloo,https://getlooloo.com/,https://getlooloo.com/pages/contact-us,help@getlooloo.com,888-807-3335,"12101 Factory Outlet Dr Suite 101, Draper, UT, United States",Draper,Utah,United States,Mechanical or Industrial engineering,"LooLoo is the world's most advanced touchless toilet freshener and nightlight, revolutionizing the way toilets are used by addressing odors where they happen. With automatic misting of odor-blocking essential oils, LooLoo ensures a fresh and pleasant",,,Sharoon
,e-SENS,https://www.e-sens.com/,https://www.e-sens.com/contact/,info@e-sens.com,801-839-1073,"630 Komas Drive Salt Lake City, Utah 84108",Salt Lake City,Utah,United States,Utilities,e-SENS is an EU project enhancing digital public services and promoting the Digital Single Market through interoperable infrastructure and core components like eID and eSignatures,,,Sharoon
,Lume Deodorant,https://lumedeodorant.com/,https://help.lumedeodorant.com/en-US/contact,support@lumedeodorant.com,,"299 Main St, Salt Lake City, UT 84111, USA",Salt Lake City,Utah,United States,Wellness & Fitness,"Lume Deodorant provides outrageously effective whole body deodorants and body care products that are hypoallergenic, baking soda-free, and safe for sensitive skin with 72-hour odor protection",,,Sharoon
,Plugfones,https://www.plugfones.com/,https://www.plugfones.com/support/contact/,sales@plugfones.com,801-349-2545,"2057 W 700 S, Springville, UT 84663, USA",Springville,Utah,United States,Household Durables,"Plugfones is the pioneer in headphone earplugs, offering a unique hybrid that combines comfortable, noise-reducing earplugs with high-quality audio speakers. Their innovative products provide the ultimate hearing protection and listening experience",,,Sharoon
,ASEA,https://www.aseaglobal.com/en-US,https://www.aseaglobal.com/en-US/contact,support@aseaglobal.com,801-973-7499,"Pleasant Grove, UT 84062, USA",Pleasant Grove,Utah,United States,Wellness & Fitness,"ASEA Global is an emerging global leader in cellular health, dedicated to providing high-quality cellular health products. Their patented Redox Signaling technology improves cellular health, offering a sustainable lifestyle",,,Sharoon
,Ivy City,https://ivycityco.com/,https://ivy-city-co.gorgias.help/en-US,hello@ivycityco.com,385-325-8169,"12711 Old Liberty Way Suite 700 Riverton, Utah 84096",Riverton,Utah,United States,Apparel and Fashion,"Gorgias is a customer service platform designed for ecommerce merchants, offering multichannel support through email, live chat, voice, and social media. With AI-powered automation, it streamlines ticket management, order processing",,,Sharoon
,Cozy Earth,https://cozyearth.com/,https://cozyearth.com/pages/contact,support@cozyearth.com,385-225-9268,"Salt Lake City, Utah, United States",Salt Lake City,Utah,United States,Retail,"Cozy Earth offers luxury bamboo bed linens, sleepwear, and loungewear that are incredibly soft, temperature-regulating, and hypoallergenic, providing unparalleled comfort and quality.",,,Sharoon
