gdfg,dgd,gd,dfg,Worker,,,,,,,,,,
raileyvintagefinds,https://www.instagram.com/raileyvintagefinds/,,,Shahwaiz Farooq,Lifestyle,"Evan Mawarire is a Zimbabwean clergyman who founded #ThisFlag Citizen’s Movement to challenge corruption, injustice, and poverty in Zimbabwe. The movement empowered citizens to hold government to account. For organising multiple successful non-violent protests in response to autocratic rule, Mawarire was imprisoned and tortured in 2016, 2017 and 2019 and charged with treason facing 80 years in prison. Evan has addressed audiences at The Atlantic Council, Yale, Harvard, the Oxford Union (UK), the Oslo Freedom Forum and the Geneva Summit for Human Rights & Democracy. Foreign Policy magazine named him among 100 global thinkers of 2016. He was named 2016 African of the year by the Daily Maverick Newspaper of South Africa. Evan Mawarire was a nominee of the prestigious 2018 Swedish government’s Per Anger Prize for democracy actors. He is a former fellow of Stanford University’s Centre for Democracy Development and the Rule of Law, Yale University’s World Fellows, University of Pennsylvania, Johns Hopkins University, and the National Endowment for Democracy (NED). He serves on the advisory board of Yale International Leadership Centre and is currently the Director of Frontlines of Freedom dissidents’ network at Renew Democracy Initiative in Washington DC.",Twitter/X,info@evanmawarire.org,,,,,,
,https://www.instagram.com/explore/locations/104841315080852/lolley-pops-thrift-shop/nearby/,,,,Lifestyle,"PokelloPinkBottoms.PokelloNail Lacquer,Model. •Chicken Hut,•Munch, •Brands4LessZim; •Intraceuticals SA. +263 774764924 Management nievy3641@gmail.com",Twitter/X,nievy3641@gmail.com, +263 774764924,,Pokello Nare,@pokellosexxy,735K,
Southern Vintage Flea,https://www.instagram.com/southernvintageflea/,southernvintageflea@gmail.com,,Shahwaiz Farooq,Lifestyle,"Comedian, Actress,brand Ambassador Brand influencer 0785857955",Twitter/X,madambosszim@gmail.com,785857955,2,Madam Boss (Tyra Chikocho),@madambosszim,629K,
,https://www.instagram.com/explore/locations/560424870783428/three-tails-resale/nearby/?locale=my&hl=en,,,,,,,,,3,Ruvheneko Parirenyatwa,@ruvheneko,155K,
,https://www.instagram.com/pickers_paradise2/,,,,,,,,,4,Tanya Chikuni,@tanyachikuni,37.4K,
,https://www.instagram.com/thebamabuzz/p/CzEnRwJxCFf/,,,,,,,,,5,Maxinne Adams,@maxinne_adams,36.3K,
,https://www.instagram.com/tiffany_thrifts_that/p/CtzU0spOoFm/?hl=zh-cn&ref=159,,,,,,,,,6,Lorraine Swanepoel,@lorraineswanepoel,30.2K,
,https://www.instagram.com/bossmomforlife1/p/DExbd69O1Y3/,,,,,,,,,7,"Michelina ""Miss Chindiya"" Chindiya",@misschindiya,26.6K,
DD's Place-Consignment Store,https://www.instagram.com/ddsconsignment/p/BYlXwg4glH9/,,,,Lifestyle,Luxury EventDesigner : Fashion & Food Stylist : Grooming Consultant : INFLUENCER,Twitter/X,info@craigzoowie.com,,8,Craig Zoowie,@craigzoowie,20.4K,
Fashion Exchange,https://www.instagram.com/fashion_exchange/,,,Shahwaiz Farooq,,,,,,9,Elton Maregedze,@eltonmaregedze,20.4K,
,https://www.instagram.com/shopsbyvay/reel/DDpy1zYyp29/?api=bingo%E3%80%90PG.CYOU%E3%80%91.atmd&hl=zh-cn,,,,,,,,,10,Mutsa Mwale,@mutsa_mwale,17.1K,
,https://www.instagram.com/marchandmaydesign/p/DEpIMpTSYzG/?locale=zh_CN,,,,Entertainment,Excellence. Brilliance. Difference.,Twitter/X,info@nelsonchamisa.com,,1,Nelson Chamisa,@nelsonchamisa,1.37M,
Ci Store,https://www.instagram.com/ciconceptstore/?locale=hungry%2Bpurry%2B888%2B%E0%B9%80%E0%B8%84%E0%B8%A3%E0%B8%94%E0%B8%B4%E0%B8%95%E0%B8%9F%E0%B8%A3%E0%B8%B5%E0%B9%80%E0%B8%A7%E0%B9%87%E0%B8%9A%E0%B9%83%E0%B8%AB%E0%B8%A1%E0%B9%88%E3%80%9055line.com%E3%80%91.vahm&hl=en,,,,Entertainment,"#Zimbabwe's former Minister of Higher & Tertiary Education, Science & Technology Development. ""The unexamined life is not worth living"" ~ Socrates",Twitter/X,profjnmoyo@gmail.com,,2,Prof. Jonathan Moyo,@ProfJNMoyo,999K,
Sweet Pickins In Alabama,https://www.instagram.com/explore/locations/687869084717440/sweet-pickins-in-alabama/?next=%2Fbluegodzi%2Ftagged%2F&locale=%E5%9C%A8%E7%BA%BF%E5%AE%9A%E5%88%B6%E5%A1%94%E5%90%89%E5%85%8B%E6%96%AF%E5%9D%A6TEF%E8%AF%81%E4%B9%A6%E8%81%94%E7%B3%BB%7B%E5%A8%81%E4%BF%A1%2BTG%2F%E9%A3%9E%E6%9C%BA%3A%40buth2788%7DsjwNH%3F%3F%3F%3F%3F%3F%D1%A7%3F%3F%C6%BESwQuO,,,,,,,,,3,Ruvheneko Parirenyatwa,@RuvhenekoP,700K,
,https://www.instagram.com/marchandmaydesign/p/DEpIMpTSYzG/?api=%E9%A9%AC%E6%9D%A5%E8%A5%BF%E4%BA%9A%E5%87%8C%E5%AE%B6%E5%8D%AB%E5%B2%9B%E7%BA%A6%E7%82%AEWhatsApp%EF%BC%9A601168119942%E5%AD%A6%E7%94%9F%E5%85%BC%E8%81%8C.mlzg&hl=zh-cn,,,,,,,,,4,NewsDay Zimbabwe,@NewsDayZimbabwe,1.39M,
,https://www.instagram.com/rohuvintage/?locale=Online%2Bentertainment%2C%2Breal%2Bperson%2C%2Belectronic%2Bchess%2Band%2Bcards%2C%2Blottery%2C%2Bsports%2C%2Bcomprehensive%2Breputation%2B(Telegram%3A%2B%40UUjd888888).tzge&hl=en,,,,,,,,,5,ZBC News Online,@ZBCNewsonline,1.27M,
,https://www.instagram.com/ourgreeneacres/reel/C8VbZfVpbLn/?locale=de-DE,,,,,,,,,6,Citizens' Coalition for Change,@CCCZimbabwe,827K,
,https://www.instagram.com/cierrahsclothingco/reel/DGR4zArtk8w/,,,,,,,,,7,The Herald Zimbabwe,@HeraldZimbabwe,647K,
,https://www.instagram.com/luv_luxe/p/C5bi9LLPF7Q/,,,,,,,,,8,Madam Boss (Tyra Chikocho),@madambosszim,1.1M,
Cindy Praytor,https://www.instagram.com/cindylpraytor/p/C_q4AAiSRfm/?locale=zh_CN&hl=ar,,,,Entertainment,"10time ChannelO,Nigeria Soundcity,ZIMA,Zimdancehall Award Winner Bookings:BuffaloSouljahBooking@gmail.com",Twitter/X,BuffaloSouljahBooking@gmail.com,,9,Buffalo Souljah,@buffalosouljah1,1M,
shopebv,https://www.instagram.com/shopebv/,,,Shahwaiz Farooq,,,,,,10,Jah Prayzah,@jahprayzah,836K,
,https://www.instagram.com/kathy_dyleski_art/p/C9mw-oeR4Be/,,,,,,,,,1,Strive Masiyiwa,@StriveMasiyiwa,400K,
,https://www.instagram.com/esmuyfragil/?api=%E9%A9%AC%E6%9D%A5%E8%A5%BF%E4%BA%9A%E5%8C%97%E6%B5%B7%E6%89%BE%E5%B0%8F%E5%A7%90WhatsApp%EF%BC%9A601168119942%E5%B0%8F%E5%A6%B9%E4%B8%8A%E9%97%A8.tarb,,,,Business,"Christian| Pro-Poor| Kingdom Private Equity| Coach 
@Success
 Motivation Institute AfriCan|SMI(A)|LMI|FMI| Chanakira Training Centre & Biz School|LFC fan| CNN|",Twitter/X,nigelchanakira@gmail.com,,2,Nigel Chanakira,@nigelchanakira,100K,
,https://www.instagram.com/cryswatford/p/DFQ9S8rxAYk/,,,,Business,"No one owns me except Christ, I belong to everyone. I want to leave my world a better place than I found it! #Watchman #Entrepreneur #Philanthropist",Twitter/X,shingimunyeza@gmail.com,,3,Shingi Munyeza,@ShingiMunyeza,80K,
,https://www.instagram.com/cindylpraytor/p/DDfRU8Ip3Up/?locale=zh_tw&hl=ar,,,,Business,Get out of your own head: Just make it exist first. You can make it perfect later.,Twitter/X,info@vusithembekwayo.com,,4,Vusi Thembekwayo,@VusiThembekwayo,1M,
,https://www.instagram.com/ptx.trimble/p/DABnozRujh0/?locale=zh-hans&hl=ar,,,,,,,,,5,Busisa Moyo,@Busisa74,50K,
A1 closets,https://www.instagram.com/a1_closets/,,https://a1-closets.myshopify.com/,Shahwaiz Farooq,,,,,,1,Uebert Angel,@uebertangel,1.1M,
Cindy Praytor,https://www.instagram.com/cindylpraytor/p/DAZL1Ray_o3/?locale=zh_tw&hl=ar,,,,,,,,,2,"Genius ""Ginimbi"" Kadungure",@ginimbi,608.1K,
,https://www.instagram.com/sonnybdeals/p/C-nmLjfNzIN/?locale=zh-TW&hl=am-et,,,,,,,,,3,Mai Ts Diaries,@maitsdiaries,518.3K,
,https://www.instagram.com/qualitycollectibles/p/B3awzDsH_PN/,,,,,,,,,4,Minister Michael Mahendere,@ministermahendere,2.3K,
,https://www.instagram.com/rohuvintage/,,,,,,,,,5,DJ Blesh,@djblesh,2.2K,
,https://www.instagram.com/alicia_r_murray/p/CqgKRCjuC7j/,,,,,,,,,6,CEO Africa Roundtable,@CEOAfricaRT,1.7K,
,https://www.instagram.com/a1_closets/p/DAJvX1yRfaf/,,,,,,,,,1,Techzim,@Techzim,"288,767",
,https://www.instagram.com/qualitycollectibles/p/B25lTr9HJFO/,,,,Tech,"I teach law at Kent Law School, former advisor to a Prime Minister of Zimbabwe & helped write the Zim constitution. I write the 
@BigSaturdayRead
. atm@kent.ac.uk",Twitter/X,atm@kent.ac.uk,,2,Alex T. Magaisa,@Wamagaisa,"411,941",
,https://www.instagram.com/inheritanceantiques/reel/DGu_EjkuLRI/,,,,,,,,,3,Afrobloggers,@AfroBloggers,"699,969",
Kimberley Reseller,https://www.instagram.com/new_and_nostalgic/reel/DFGT8CttzHm/,,,,,,,,,4,Raisedon Baya,@raisedonbaya,-,
,https://www.instagram.com/flawless.consignment/,,,,Tech,"Award Winning Media Personality | Drive-Time 
@zifmstereo
 | Author “Be Faithful to your happiness” | 
@RedMarketSunday
 | CEO Mary Mu | BOOKINGS: +263 7 71157510",Twitter/X,info@imisred.com,, +263 7 71157510,Misred,@iMisred,-,
Serendipity Vintage,https://www.instagram.com/serendipityvintage/,serendipityvintage@gmail.com,,Shahwaiz Farooq,,,,,,1,Thembelihle Terry-Lynne Zulu,@ThembelihleZulu,23K,
Grandpa�s Vintage,https://www.instagram.com/yourgrandpasvintage/,yourgrandpasvintage@gmail.com,,Shahwaiz Farooq,,,,,,2,Beaton Mabaso,@BeatonMabaso,21K,
Linda Marie�s Consignment Store,https://www.instagram.com/lindamconsignment/,,,Shahwaiz Farooq,,,,,,3,Tawanda Chari,@TawandaChari,11K,
,https://www.instagram.com/alinefayetteville/,,,,,,,,,4,Rudo Nyoni,@RudoNyoni,9K,
Vintage Reworks,https://www.instagram.com/vtgrwks/,bpro11@icloud.com,,Shahwaiz Farooq,,,,,,5,Faith Nyamukapa,@FaithNyamukapa,8K,
Young Forever,https://www.instagram.com/youngforeverconsignment/,,,,,,,,,1,"Michelina ""Miss Chindiya"" Chindiya",@misschindiya,26.6K,
Fianna Hills Consignment Btq.,https://www.instagram.com/fiannahillsconsignment/p/DF5mC57hcab/?api=Instagram%E8%90%A5%E9%94%80%E8%BD%AF%E4%BB%B6%F0%9F%A7%A7-[%E8%AE%A4%E5%87%86%E5%A4%A9%E5%AE%87TG%3A%40cjhshk199937]-ins%E9%87%87%E9%9B%86%E8%BD%AF%E4%BB%B6%2Fig%E7%A4%BE%E5%8C%BA%E5%BB%BA%E8%AE%BE%2Fins%E7%BE%A4%E5%8F%91%E5%8A%A9%E6%89%8B.rgpn&hl=zh-cn,,,,,,,,,2,Pokello Nare,@pokellosexxy,735K,
KICK,https://www.instagram.com/kick.vintageart/,shopkickvintage@gmail.com,https://kickvintage.com/,Shahwaiz Farooq,,,,,,3,Madam Boss (Tyra Chikocho),@madambosszim,629K,
Crying Weasel Vintage,https://www.instagram.com/cryingweaselvintage/,cryingweaselvintage@gmail.com,,Shahwaiz Farooq,,,,,,4,Ruvheneko Parirenyatwa,@ruvheneko,155K,
,https://www.instagram.com/flawless.consignment/p/C-jA8-lxt-z/,,,,,,,,,5,Tanya Chikuni,@tanyachikuni,37.4K,
,https://www.instagram.com/explore/locations/236043703621726/vibe-vintage-experience/,,,,,,,,,,,,,
The Consignment Bar,https://www.instagram.com/shoptheconsignmentbar/?api=melhores%2Bcasas%2Bde%2Bapostas%2B2023%E3%80%90PG.CYOU%E3%80%91.aygd&hl=zh-cn,shoptheconsignmentbar@gmail.com,,Shahwaiz Farooq,Fitness,"Unearthed from Botswana
#KgalagadiGoddess #BotswanaBorn",Twitter/X,shingimunyeza@gmail.com,,1,Mmangaka Coreen Tumagole,@mmangaka_6july,"Fitness model and enthusiast, inspiring an active lifestyle.",
Holy Thrifted,https://www.instagram.com/holy.thrifted/,holythriftedbenton@gmail.com,,Shahwaiz Farooq,,,,,,2,Lady Precious M,@lady_precious_m,"Fashion and fitness influencer, promoting a healthy lifestyle.",
dirtbagvintage co,https://www.instagram.com/dirtbagvintage.co/,info@dirtbagbrand.com,https://www.dirtbagvintage.co/,Shahwaiz Farooq,,,,,,3,Charity Baaitse,@charitybaaitse,Fitness and fashion enthusiast sharing workout insights.,
Recollect,https://www.instagram.com/recollect.ltd/,info@recollect.ltd,https://recollect.ltd/,Shahwaiz Farooq,,,,,,4,Alquincia Selolwane,@akanundrum,Advocate for balanced living through fitness and nutrition.,
,https://www.instagram.com/cc_consignment_inc/p/Bs35IzwACas/,,,,,,,,,5,Tumie Nthutang,@tumie_nthutang,Motivational fitness influencer encouraging perseverance.,
,https://www.instagram.com/thriftaholic/p/CUBkgr7s1We/,,,,,,,,,6,Marang Selolwane,@marang.m,Fitness and fashion influencer with a focus on health.,
The Retro Fit of Hot Springs,https://www.instagram.com/hotspringsretrofit/,theretrofitbylana@gmail.com,,Shahwaiz Farooq,,,,,,7,Donny Kkeiko,@kkeiko,Fitness enthusiast showcasing his workout progress.,
TwistedThrifterNwa,https://www.instagram.com/twistedthrifternwa/,corporon2135@icloud.com,,Shahwaiz Farooq,,,,,,8,Natasha Palesa Kemonna,@nate_kemonna,"Dedicated to fitness, promoting healthy lifestyle choices.",
,https://www.instagram.com/commongroundfinds_/reel/C9sZ28LpzVn/,,,,,,,,,9,Thandiwe Kelendria Headman,@plussize_president,Encourages fitness for all body types with body positivity.,
Suede Elephant,https://www.instagram.com/suedeelephant/,suedeelephant@gmail.com,,Shahwaiz Farooq,,,,,,10,Thapelo Letsebe,@letsebe_letsebe,"Blends fitness and fashion, inspiring others to stay active.",
,https://www.instagram.com/braziljen05_posh/,,,,,,,,,1,Gaona Dintwe,@GaonaDintwe,"Media personality and entrepreneur, known for engaging content on various lifestyle topics.",
The Silver Spur,https://www.instagram.com/thesilverspurnwa/p/C0Cy3H4M6bc/,,,,,,,,,2,Katlego Kai Kolanyane-Kesupile,@KatKaiKolKes,"Performance artist, writer, and LGBT activist, sharing insights on culture and social justice.",
,https://www.instagram.com/fiannahillsconsignment/p/C7md5_fpuuU/,,,,,,,,,3,Siyanda Mohutsiwa,@SiyandaWrites,"Author and speaker, recognized for creating viral hashtags and promoting pan-African discussions.",
,https://www.instagram.com/fiannahillsconsignment/p/C4sfEMrray9/,,,,,,,,,4,Seneo Perry,@SeneoPerry,"Model and environmentalist, advocating for wildlife conservation and heritage preservation.",
,https://www.instagram.com/brycejwytofficial/p/DFbYvRzAvJH/,,,,,,,,,5,Precious Gondwe,@PreciousGondwe,"Lawyer and businesswoman, influential in legal circles and women's leadership.",
,https://www.instagram.com/doricorders/p/DFmoyGLxEG6/,,,,,,,,,6,Keno Madumo,@keno_customsuits,"Founder of Keno Custom Suits, showcasing bespoke menswear and fashion insights.",
