Company Name,Address,Mobile Phone,Primary Phone No,Secondary Phone No,Email Address,Director 1 First Name,Director 1 Surname,Director 2 First Name,Director 2 Surname,Director 3 First Name,Director 3 Surname,Director 4 First Name,Director 4 Surname,Business Category,Website,Note,Worker
Hydraulic & Engineering Supplies Blenheim Ltd,"51 Grove Road, Mayfield, Blenheim 7201, New Zealand",,03 5780509,,,Allan Malcolm ,PRICE,Adrian Michael ,SEABROOK,,,,,Hydraulic Engineering Services,,Website not found,Najam
Picton Manufacturing (2007) LIMITED,8 Kent Street Picton 7220 New Zealand,027 554 5687,03 5737937,,,Antony James ,EDWARDS,,,,,,,Hydraulic Engineering Services,https://pictonmanufacturing.co.nz/,,Najam
Gordon Production Machining Ltd,7 Mohaka Pl Palmerston North 4414,,06 3594300,,gordonpm@xtra.co.nz,Grant Norman ,CUTLER,Paul Henry ,HILDERINK,,,,,Hydraulic Engineering Services,https://www.gpmachining-cnc.co.nz/,,Najam
Masson Implement Co Ltd,"11 Belvedere Road, Carterton 5713, New Zealand",,06 3798044,,sales@massons.co.nz,Stuart William ,DORNAN,,,,,,,Hydraulic Engineering Services,https://www.massons.co.nz/,,Najam
Machinery Specialists Limited,18 Bisley Street Cloverlea Palmerston North 4412,027 449 1605,06 3568459,,info@machineryspecialists.co.nz,Robert Alan James ,MIERS,,,,,,,Hydraulic Engineering Services,https://machineryspecialists.co.nz/,,Najam
Gregory Engineering Ltd,15 Kent Street Picton 7220,274473783,03 5736223,,sales@gregoryengineering.co.nz,Jason Roy ,GREGORY,,,,,,,Hydraulic Engineering Services,https://gregoryengineering.co.nz/,,Najam
Bodytech Panel & Paint Limited,"7A/22 Harris Rd, East Tamaki, Auckland 2013 East Tamaki, Auckland",021 488 577,09 2739303,,bodytek@xtra.co.nz,Yogendra ,MURTI,,,,,,,Panel Beaters,https://www.bodytechpanelandpaint.co.nz/,,Najam
Owen Shaw Panelbeaters LTD,"71 Portage Road, Otahuhu, Auckland",027 3115727,09 2763917,,office@owenshawpanelbeaters.co.nz,Owen Kenneth ,SHAW,Robin Joy ,SHAW,,,,,Panel Beaters,https://ospanelandpaint.co.nz/,,Najam
Gray & Galpin Panelbeaters Ltd,"6/586 Great South Road, Papatoetoe, Auckland 2025, New Zealand",,09 2785251,,grayandgalpinltd@xtra.co.nz,Scott James ,BURMEISTER,,,,,,,Panel Beaters,https://grayandgalpin.co.nz/,,Najam
Eurotech Auto Repair Centre Ltd,"20 Sylvia Park Road, Unit G Mount Wellington, Auckland",,09 5731093,,dave.eurotech@xtra.co.nz,Marino ,MILICH,,,,,,,Panel Beaters,https://www.eurotechauto.co.nz/,,Najam
Airport Collision Specialists,32 Rennie Drive Airport Oaks Auckland,,09 257 1933,,office@airportcollision.co.nz,Christine Faye ,NICOL,,,,,,,Panel Beaters,https://airportcollisionspecialists.co.nz/,,Najam
Redwood Panel & Paint 2005 Ltd,640 Swanson Road Swanson Auckland 0612,,09 832 7600,,redwood.panel.paint@xtra.co.nz,Jason David ,COWAN-RAITI,,,,,,,Panel Beaters,https://www.redwoodpanelandpaint.co.nz/,,Najam
Judd & Charles Panelbeaters (1984) LIMITED,163 Target Road Wairau Valley Auckland 0627,,09 4448165,,info@judd-charles.co.nz,John Edward ,THOMPSON,Lesley Jean ,THOMPSON,,,,,Panel Beaters,http://www.juddcharles.co.nz/,,Najam
Causeway Panelbeaters Limited," 2/57 Barrys Point Road, Takapuna Aucklandf",,09-489 5252,,Causewaypb@xtra.co.nz,Brenton George ,ERCEG,Jennie Louise ,JACKSON,,,,,Panel Beaters,https://www.causewaypanelbeaters.co.nz/,,Najam
M J Breen Panelbeaters Ltd,"17 East Tamaki Road, Simon Lane, Papatoetoe, Auckland 2025, New Zealand",,09 2789432,,manager@breenpanelbeaters .co.nz,Michael John ,BREEN,Robyn Anne ,BREEN,,,,,Panel Beaters,http://www.breenpanelbeaters.co.nz/,,Najam
A1 Bute Collision Repairs LTD,728 Beach Road Browns Bay Auckland 0630,,09 4783766,,fixit@butecollision.co.nz,Neville Harold ,JONES,,,,,,,Panel Beaters,http://www.butecollision.co.nz/,,Najam
Omega Panelbeaters Ltd,"5 Brigade Rd, Airport Oaks, Auckland, 2022",,09 2750025,,info@omegapanelbeaters.co.nz,Richard Stewart ,SCEATS,,,,,,,Panel Beaters,https://omegapanelbeaters.co.nz/,,Najam
,,,,,,,,,,,,,,,,,
CLAUDELANDS AUTOMOTIVE LIMITED,"9-13 Ruakura Road, Claudelands, Hamilton 3214",,07 8553883,,,Justin Robert ,KING,,,,,,,Automotive Repairs,https://www.claudelandsautomotive.co.nz/,,Najam
Autoland North Shore LTD,"17 Parkway Drive, Mairangi Bay, Auckland.",,09 4772366,,,Nicholas David ,YOUNG,,,,,,,Automotive Repairs,https://www.autoland.net.nz/,,Najam
Auto Lab Enterprises Limited,515A Waitakere Road Taupaki,,09 8370600,,,Neil Andrew ,HUNNIBELL,Lee-anne Marjorie ,HUNNIBELL,,,,,Automotive Repairs,https://www.autolab.co.nz/,,Najam
Tauranga Repowers Ltd,"66 Courtney Road, Parkvale, Tauranga 3112",,07 5712303,,,Joseph Francis ,DABROWSKI,Joanna Elizabeth ,DABROWSKI,,,,,Automotive Repairs,,Website not found,Najam
Ansin & Monteith (2005) LIMITED,508 Karamu Road Hastings,,06 8786623,,,Murray John ,LONG,,,,,,,Automotive Repairs,,Website not found,Najam
CLAUDELANDS AUTOMOTIVE LIMITED,510 Manutahi Road RD 3 Lepperton New Plymouth 4373,,06 7520731,,,Christopher Colin ,BURKHART,Kelly ,BURKHART,,,,,Farm Machinery,https://www.burkharts.farmtrader.co.nz/,,Najam
Ross Curtis Joinery LTD,"2 Kururau Road, Taumarunui 3920",,07 8957152,,,William Ross ,CURTIS,Glenis Jean ,CURTIS,,,,,Joinery Manufacturers,,Website not found,Najam
Wackrow's Joinery Ltd,"13 Gillies Street, Cambridge 3434",,07 8275981,,,Bryce ,NORRIS,Liam ,WACKROW,Carl Alan ,RILEY,,,Joinery Manufacturers,http://www.wackrowsjoinery.co.nz/,,Najam
Morrinsville Industries Ltd,"11-13 Bank Street, Morrinsville 3300",,07 8895197,,,Craig Michael ,FOSTER,Murray Brent ,FOSTER,,,,,Joinery Manufacturers,https://www.miljoinery.co.nz/,,Najam
Italian Stone Ltd,"10 Portage Road, New Lynn, Auckland 0600",,09 8278633,,,Graeme Rex ,THORNE,Kenneth Andrew ,JOHNSTON,,,,,Fireplaces,https://italianstone.co.nz/,,Najam
Broady's NZ LIMITED,46A Sir William Avenue East Tamaki Auckland 2013,,09 2740658,,,Johnathan Richard ,LINTOTT,,,,,,,Fireplaces,,Website not found,Najam
PROGRESSIVE POLISHERS & ELECTROPLATERS LIMITED,3 Veronica Street East New Lynn Waitakere 0600 Auckland,,09 8271161,,,Travis James ,GILLBANKS,Malcolm Douglas ,REDSHAW,Megan Elizabeth ,GILLBANKS,Patricia Carol ,REDSHAW,Metal Merchants Products,https://progressiveelectroplaters.co.nz/,,Najam
Avoca Lime COMPANY (2010) LIMITED,"Head Office 15 Norfolk Street, Whangārei 0110",,09 4335720,,,Bryce James ,MANDERSON,,,,,,,Metal Merchants Products,https://avocagroup.co.nz/,,Najam
Ambro Metals Ltd,14 Timothy Place Avondale Auckland 1026,,09 8281814,,,Leo ,LUNJEVICH,,,,,,,Metal Merchants Products,https://www.ambrometals.com/,,Najam
Millar Paterson Metals Ltd,20/10 Olive Road Penrose Auckland 1061,,09 5797619,,,Bruce Stratford ,MILLAR,,,,,,,Metal Merchants Products,http://www.milpatmetals.co.nz/,,Najam
Urban Fabrication LTD,22 Arklow Lane Whangaparaoa Auckland 0932,,09 4281960,,,Warwick Blair ,ASHTON,,,,,,,Metal Merchants Products,,Website not found,Najam
R & B Aluminium Ltd,731 Great Road Penrose Auckland 1061,,09 5253404,09 526 3745,,Arthur Graeme ,BURNS,Glenn Leonard ,ROOT,,,,,Metal Merchants Products,https://www.randbali.co.nz/,,Najam
Metal Fabrications Ltd,5 Polaris Place East Tamaki Auckland,,09 2739517,,,Thomas Robert ,HAYCOCK,Victoria Michelle ,PROCTOR,,,,,Metal Merchants Products,https://www.metalfabrications.co.nz/,,Najam
Metal Concepts Ltd,83 Captain Springs Road Onehunga Auckland 1132,,09 6367345,,,Anthony Brian ,SAVAGE,,,,,,,Metal Merchants Products,https://www.metalconcepts.co.nz/,,Najam
